Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
AHE-L89	-12660.5213	-12637.8846	-12638.4423	-12637.8848	-12641.4179	
AHE-L93	-12658.6288	-12656.3924	-12656.7682	-12656.3938	-12656.6285	
AHE-L96	-13955.8920	-13952.2000	-13953.4273	-13953.4980	-13952.2015	
gene-BDNF	-6368.5396	-6358.8813	-6358.8814	-6359.0981	-6359.1652	
gene-BMP2	-8552.4812	-8537.4796	-8538.6685	-8537.4793	-8538.6687	
gene-ECEL	-2748.8182	-2738.5927	-2738.5930	-2738.6259	-2738.6123	
gene-ENC1	-11092.5338	-11067.7849	-11067.7828	-11071.7280	-11071.7296	
gene-FSHR	-10752.6932	-10751.9650	-10757.2824	-10751.9652	-10756.1925	
gene-FSTL5	-6740.2422	-6731.3936	-6731.3940	-6731.4022	-6731.3946	
gene-GALR1	-9746.2860	-9741.1257	-9744.8123	-9741.1256	-9744.0272	
gene-LRRN1	-4639.7163	-4627.0396	-4627.0396	-4627.7627	-4627.7627	
gene-LZTSS1	-7066.3423	-7060.3066	-7060.3066	-7062.3608	-7062.0463	
gene-NGFB	-7842.2711	-7837.3827	-7837.6934	-7837.6942	-7837.3825	
gene-PNN	-7278.5039	-7272.7186	-7275.7908	-7276.7010	-7272.7183	
gene-SLC8A1	-13073.5224	-13062.7728	-13063.3634	-13062.7734	-13063.3636	
gene-ZFP36L1	-3892.1742	-3896.0154	-3896.0156	-3896.6298	-3897.1070	
uce-10	-2444.5070	-2440.7882	-2440.7877	-2440.7875	-2440.7879	
uce-1003	-3004.0994	-3001.3974	-3003.4967	-3003.4962	-3001.3971	
uce-1004	-4254.6359	-4248.5844	-4248.8846	-4248.5848	-4248.8857	
uce-1005	-3100.6924	-3100.2186	-3100.2177	-3100.2181	-3100.2191	
uce-1008	-5385.8558	-5387.1757	-5387.1750	-5389.4754	-5389.0603	
uce-101	-7103.6116	-7096.8418	-7096.8419	-7098.4752	-7097.8285	
uce-1010	-4478.2226	-4464.0845	-4464.0857	-4464.0856	-4464.0860	
uce-1012	-4004.8482	-3997.1171	-3997.1177	-3997.1176	-3997.1170	
uce-1013	-3987.4667	-3987.4491	-3989.6619	-3987.4494	-3989.6612	
uce-1014	-4179.5652	-4182.2319	-4182.2310	-4185.9714	-4185.9710	
uce-1017	-4739.5342	-4742.5188	-4742.5431	-4742.5187	-4742.5427	
uce-1018	-3083.7383	-3071.1342	-3071.4244	-3071.4247	-3071.1343	
uce-102	-4248.4567	-4236.9468	-4236.9466	-4236.9527	-4236.9525	
uce-1021	-4739.3657	-4731.7469	-4732.6793	-4732.6791	-4731.7463	
uce-1025	-2475.7390	-2475.7684	-2475.7685	-2475.7686	-2475.7684	
uce-1026	-2334.1005	-2334.6271	-2334.6273	-2334.6274	-2334.6263	
uce-1027	-3703.3646	-3705.7601	-3705.7601	-3705.7608	-3705.7602	
uce-1029	-2967.2268	-2961.5956	-2961.5963	-2961.5955	-2961.5958	
uce-1031	-3074.7921	-3071.7968	-3071.7968	-3072.9749	-3072.9733	
uce-1034	-5829.4141	-5821.9735	-5822.6531	-5821.9720	-5822.6548	
uce-1035	-2496.0141	-2493.7678	-2493.7657	-2493.7668	-2493.7668	
uce-1036	-2368.7645	-2367.0363	-2367.1038	-2367.1060	-2367.0542	
uce-1037	-3627.1834	-3626.6515	-3627.2078	-3627.2076	-3626.6519	
uce-1038	-4712.2986	-4711.7610	-4712.7033	-4712.7176	-4711.7606	
uce-1039	-5262.0748	-5238.1851	-5238.1853	-5238.1860	-5238.1853	
uce-1040	-2317.3151	-2319.1955	-2319.1956	-2319.1971	-2319.1965	
uce-1041	-5582.7121	-5582.9330	-5583.3138	-5582.9462	-5582.9333	
uce-1043	-3240.0519	-3238.7350	-3239.3581	-3239.3582	-3238.7337	
uce-1044	-3716.2007	-3713.5251	-3713.5258	-3714.1771	-3713.6577	
uce-1047	-6043.6625	-6039.8511	-6040.2567	-6040.6300	-6039.8509	
uce-1048	-6064.2490	-6056.9365	-6057.5965	-6057.3418	-6056.9364	
uce-105	-888.4181	-888.8319	-888.8316	-888.8339	-888.8340	
uce-1050	-4331.5984	-4330.5021	-4330.5019	-4330.5026	-4330.5022	
uce-1051	-4686.8061	-4690.8800	-4690.8797	-4690.8805	-4690.8798	
uce-1052	-4247.8599	-4243.0157	-4243.0159	-4243.0157	-4243.0164	
uce-1053	-5463.8895	-5466.0045	-5466.3740	-5466.0054	-5466.6544	
uce-1054	-3211.4142	-3206.9151	-3207.0848	-3206.9171	-3207.2585	
uce-1055	-5330.3810	-5313.7315	-5313.7315	-5313.7319	-5313.7319	
uce-1056	-4267.6362	-4253.4866	-4253.4862	-4253.4874	-4253.4872	
uce-1058	-4007.1189	-3993.6981	-3994.7012	-3994.7009	-3993.6974	
uce-1059	-3649.3240	-3643.3985	-3643.3989	-3643.3989	-3643.3986	
uce-106	-4281.9990	-4282.1214	-4282.1212	-4282.1216	-4282.1215	
uce-1060	-4667.4217	-4657.0737	-4657.2940	-4657.2939	-4657.0736	
uce-1061	-5348.6178	-5347.2215	-5347.2725	-5347.2719	-5347.2222	
uce-1062	-2863.8158	-2864.4757	-2864.4759	-2865.5121	-2865.5119	
uce-1063	-6109.5227	-6108.5905	-6108.5903	-6108.5912	-6108.5911	
uce-1064	-2870.5405	-2862.5522	-2862.5814	-2862.5524	-2862.5821	
uce-1065	-2644.0579	-2644.3032	-2644.3034	-2646.7897	-2646.6881	
uce-1068	-4896.6872	-4889.5052	-4889.6256	-4889.6259	-4889.5049	
uce-1069	-2869.4282	-2868.5795	-2871.4323	-2868.5788	-2871.4304	
uce-1070	-4857.6196	-4853.2715	-4853.2721	-4853.2719	-4853.2715	
uce-1072	-6076.9680	-6081.1778	-6081.6873	-6081.9004	-6081.1782	
uce-1077	-6110.0178	-6109.8531	-6109.8535	-6109.8538	-6109.8530	
uce-1081	-5099.2074	-5088.6066	-5088.6052	-5088.6073	-5088.6069	
uce-1083	-4721.0682	-4707.7360	-4707.7367	-4714.2835	-4713.9851	
uce-1084	-3229.5759	-3221.9758	-3222.6247	-3223.1666	-3221.9760	
uce-1085	-3885.5969	-3877.4347	-3877.4356	-3877.4350	-3877.4349	
uce-1088	-2625.2741	-2623.8373	-2626.8201	-2626.8195	-2623.8376	
uce-1089	-3407.2480	-3404.7871	-3404.7847	-3406.4555	-3406.4553	
uce-1090	-4284.3709	-4281.3216	-4281.3223	-4281.5589	-4281.5591	
uce-1092	-2866.4308	-2868.3556	-2868.6317	-2868.3568	-2868.6305	
uce-1093	-4095.5623	-4085.0366	-4085.0357	-4085.8951	-4086.0585	
uce-1094	-4914.7727	-4895.4688	-4895.4684	-4899.2802	-4899.2799	
uce-1098	-5859.7953	-5849.8645	-5850.2479	-5849.8647	-5852.0806	
uce-11	-4830.0427	-4818.4053	-4818.4054	-4824.0320	-4824.0317	
uce-110	-3988.4907	-3987.1354	-3987.1351	-3989.3237	-3989.3240	
uce-1100	-6716.0001	-6704.0285	-6705.4423	-6705.4442	-6704.0278	
uce-1101	-5447.0836	-5432.8469	-5432.8467	-5432.8472	-5432.8469	
uce-1102	-5610.3823	-5594.4543	-5594.4547	-5594.4552	-5594.4548	
uce-1107	-5229.5761	-5230.5290	-5230.5290	-5230.5395	-5230.5388	
uce-111	-6401.8837	-6392.8495	-6393.8425	-6394.1060	-6392.8492	
uce-1110	-4920.0477	-4920.5278	-4920.5274	-4921.6913	-4920.5955	
uce-1113	-3766.7042	-3761.0730	-3761.0732	-3761.0737	-3761.0732	
uce-1119	-3892.1874	-3896.5942	-3896.5943	-3897.5316	-3897.5312	
uce-1120	-3460.6651	-3458.3204	-3461.7909	-3461.7924	-3458.3201	
uce-1121	-2873.5372	-2871.1750	-2871.1750	-2872.5122	-2872.5119	
uce-1122	-4031.8986	-4026.2378	-4026.2380	-4027.2199	-4027.2203	
uce-1123	-5694.8496	-5684.9056	-5688.6264	-5688.6264	-5684.9054	
uce-1126	-4707.4653	-4704.6253	-4705.5687	-4704.6254	-4704.8901	
uce-1127	-3022.6681	-3022.3250	-3025.0810	-3024.2559	-3022.3259	
uce-1128	-2146.9096	-2132.2338	-2132.2320	-2135.3669	-2135.3652	
uce-1131	-5721.7783	-5714.5658	-5714.5655	-5714.5669	-5714.5662	
uce-1133	-5214.0596	-5201.7437	-5201.7442	-5201.7437	-5201.7429	
uce-1134	-2617.4821	-2605.3622	-2605.3622	-2605.3630	-2605.3627	
uce-1135	-5502.1682	-5497.5231	-5498.7876	-5498.7865	-5497.5218	
uce-1136	-3019.2519	-3017.1526	-3017.1528	-3017.1531	-3017.1527	
uce-1138	-6659.9525	-6655.1795	-6655.1796	-6655.7858	-6655.7869	
uce-1139	-3732.5077	-3727.5841	-3727.5605	-3727.5849	-3727.5847	
uce-114	-1823.3940	-1817.1955	-1817.1957	-1817.1957	-1817.1956	
uce-1141	-5971.0400	-5973.6618	-5973.6628	-5974.3459	-5974.3459	
uce-1143	-4603.4100	-4603.0398	-4603.0399	-4603.4125	-4603.0466	
uce-1148	-5096.3604	-5050.2287	-5051.1739	-5051.1736	-5050.2295	
uce-1149	-3182.2073	-3170.6708	-3170.6704	-3172.5286	-3171.7408	
uce-115	-5373.3556	-5378.9614	-5378.9639	-5379.2368	-5379.2360	
uce-1150	-8184.9072	-8184.2747	-8184.2747	-8184.5014	-8184.5016	
uce-1154	-5837.2970	-5829.5635	-5829.5635	-5829.9093	-5830.8604	
uce-1155	-3858.3008	-3860.6124	-3863.5131	-3860.6121	-3863.1553	
uce-1157	-2946.6985	-2946.8086	-2948.2943	-2946.8092	-2947.1561	
uce-1158	-4533.2899	-4530.4510	-4530.4517	-4530.4509	-4530.4522	
uce-1159	-4039.5439	-4017.4924	-4019.5115	-4019.5113	-4017.4923	
uce-1161	-4012.1818	-3996.2890	-3996.2875	-3996.2875	-3996.2878	
uce-1162	-4024.9463	-4019.9651	-4020.2706	-4019.9644	-4020.2698	
uce-1163	-4586.7709	-4578.8160	-4578.8257	-4581.7602	-4581.7587	
uce-1167	-3186.0429	-3177.0821	-3177.0833	-3177.0831	-3177.0827	
uce-1168	-3427.8054	-3426.9812	-3426.9832	-3426.9817	-3426.9820	
uce-1169	-3810.4937	-3803.7391	-3803.7404	-3803.7392	-3803.7406	
uce-117	-4039.3586	-4029.8871	-4031.4409	-4031.4407	-4029.8873	
uce-1170	-5135.5643	-5130.0767	-5130.0776	-5130.0775	-5130.0790	
uce-1172	-6912.1466	-6900.6510	-6900.6509	-6901.8006	-6901.8004	
uce-1173	-4031.6826	-4032.0643	-4034.6879	-4033.8002	-4032.0637	
uce-1174	-4398.3959	-4394.6903	-4394.6912	-4394.6918	-4394.6910	
uce-1176	-2321.8584	-2313.2952	-2313.2957	-2313.2952	-2313.2951	
uce-1177	-1299.7696	-1300.3293	-1302.5992	-1302.5983	-1300.3295	
uce-1178	-6029.5349	-6024.4723	-6024.7729	-6024.4728	-6024.7734	
uce-1181	-5611.9559	-5604.9398	-5604.9452	-5604.9456	-5604.9394	
uce-1182	-2005.3872	-1997.5830	-1997.5825	-1997.5825	-1998.0037	
uce-1183	-2757.6851	-2750.7909	-2753.9472	-2753.9473	-2750.7912	
uce-1185	-6154.1448	-6150.4675	-6152.2865	-6150.4672	-6152.1591	
uce-1187	-5033.9951	-5027.6985	-5033.9494	-5033.9495	-5027.6989	
uce-1188	-4216.4618	-4207.0350	-4209.9429	-4209.9431	-4207.0335	
uce-119	-2085.7538	-2090.7219	-2090.7218	-2090.7220	-2090.7218	
uce-1190	-4191.7158	-4185.1979	-4185.1973	-4185.1987	-4185.1997	
uce-1191	-4598.7124	-4600.4968	-4604.1721	-4600.4967	-4604.1723	
uce-1192	-4016.6058	-4007.1844	-4007.3518	-4007.9362	-4007.1843	
uce-1193	-3891.4545	-3867.9029	-3867.9026	-3871.3366	-3871.3360	
uce-1194	-5742.0941	-5733.8175	-5733.8189	-5733.8674	-5733.8676	
uce-12	-5849.7144	-5829.4732	-5829.4756	-5830.9887	-5831.0116	
uce-120	-3302.8007	-3292.4866	-3297.8981	-3292.4865	-3297.7210	
uce-1200	-3819.4436	-3808.0649	-3808.0645	-3814.4221	-3814.4220	
uce-1201	-3508.0706	-3501.0177	-3505.2788	-3501.0182	-3505.2374	
uce-1202	-5524.0329	-5513.7202	-5513.7199	-5513.7194	-5513.7209	
uce-1203	-6547.2298	-6533.2808	-6533.3499	-6533.5369	-6533.2809	
uce-1204	-4519.2750	-4513.6176	-4514.4728	-4513.6177	-4514.4737	
uce-1205	-3985.1806	-3988.2746	-3988.5485	-3988.5499	-3988.2743	
uce-1206	-2452.1635	-2455.4187	-2455.4195	-2455.4193	-2455.4187	
uce-1207	-4547.1409	-4547.2321	-4547.4663	-4547.4644	-4547.2329	
uce-1209	-4308.9469	-4304.4762	-4305.5359	-4304.4765	-4305.5354	
uce-121	-4175.5560	-4175.3944	-4175.3944	-4175.3942	-4175.3949	
uce-1210	-4952.3199	-4949.6922	-4950.1517	-4950.1532	-4949.6927	
uce-1211	-3284.7382	-3283.0821	-3283.0826	-3283.0824	-3283.0827	
uce-1212	-1919.1425	-1929.2857	-1929.2856	-1929.2860	-1929.2855	
uce-1215	-5131.6896	-5130.0170	-5131.6839	-5131.6841	-5130.0163	
uce-1216	-3741.1630	-3737.0743	-3737.0750	-3737.0746	-3737.0747	
uce-1217	-2448.9774	-2446.0899	-2455.9276	-2446.0899	-2457.4999	
uce-1219	-1612.1121	-1612.7829	-1612.7831	-1612.7829	-1612.7832	
uce-1222	-2152.7823	-2154.9109	-2155.2215	-2154.9106	-2155.2210	
uce-1224	-4358.5646	-4350.2002	-4350.1999	-4350.9207	-4351.7324	
uce-1225	-2534.2369	-2531.7792	-2531.7782	-2531.7791	-2531.7792	
uce-1231	-2919.1300	-2923.2884	-2923.3494	-2923.2885	-2923.3496	
uce-1232	-5000.3614	-4995.4157	-4995.4157	-4997.8614	-4995.6867	
uce-1233	-3011.7204	-3007.0570	-3007.0576	-3007.0570	-3007.0577	
uce-1234	-5298.9861	-5292.9861	-5293.4319	-5293.4309	-5292.9856	
uce-1236	-5348.8707	-5347.3990	-5347.5962	-5347.3983	-5347.5946	
uce-1239	-5239.8837	-5236.3306	-5236.4138	-5236.3303	-5236.4135	
uce-124	-3231.8047	-3228.5794	-3228.5789	-3228.5795	-3228.5789	
uce-1241	-5306.3407	-5304.1296	-5304.1301	-5304.1318	-5304.1321	
uce-1242	-4332.5795	-4318.7430	-4318.7950	-4318.7947	-4318.7432	
uce-1243	-3108.9253	-3108.0264	-3110.6441	-3108.0262	-3109.6527	
uce-1245	-3897.3748	-3892.6269	-3893.8793	-3893.8790	-3892.6271	
uce-1246	-4933.4060	-4925.7706	-4925.7708	-4925.7708	-4925.7717	
uce-125	-3677.3938	-3666.1962	-3666.1962	-3668.0786	-3668.0786	
uce-1250	-7706.8590	-7706.4288	-7710.0074	-7706.4270	-7710.0073	
uce-1251	-1973.3923	-1968.2549	-1968.2548	-1968.2555	-1968.2549	
uce-1252	-2780.2256	-2777.8058	-2777.8046	-2779.8750	-2779.8746	
uce-1253	-5610.1069	-5608.4478	-5608.4484	-5608.4477	-5608.4471	
uce-1255	-4932.9739	-4932.6898	-4932.6912	-4932.6905	-4932.6914	
uce-1256	-3202.7572	-3193.5069	-3193.5063	-3195.8158	-3195.8162	
uce-1257	-3864.7943	-3855.3424	-3855.3417	-3855.3538	-3855.3534	
uce-1259	-3346.9833	-3334.8635	-3334.8636	-3334.8646	-3334.8636	
