Locus	MEAN_COL_SCORE
T212_L211	0.961006	
T212_L212	0.924173	
T212_L213	0.902481	
T212_L214	0.915505	
T212_L215	0.704657	
T212_L216	0.968085	
T212_L217	0.840273	
T212_L218	0.735004	
T212_L219	0.958678	
T212_L21	0.981383	
T212_L220	0.976608	
T212_L221	0.871868	
T212_L222	0.944871	
T212_L223	0.811275	
T212_L224	NA	
T212_L225	0.929692	
T212_L226	0.911704	
T212_L227	0.919648	
T212_L228	0.938383	
T212_L229	0.920839	
T212_L22	0.860743	
T212_L230	0.857692	
T212_L231	0.963964	
T212_L232	0.923323	
T212_L233	0.874222	
T212_L234	0.879878	
T212_L235	0.751351	
T212_L236	0.904762	
T212_L237	0.635125	
T212_L238	0.939082	
T212_L239	NA	
T212_L23	0.982935	
T212_L240	0.859009	
T212_L241	0.857361	
T212_L242	0.816366	
T212_L243	0.944811	
T212_L244	0.918340	
T212_L245	0.905660	
T212_L246	0.948299	
T212_L247	0.830671	
T212_L248	0.908803	
T212_L249	0.840506	
T212_L24	0.991103	
T212_L250	0.873735	
T212_L251	0.809297	
T212_L252	0.940767	
T212_L253	0.882234	
T212_L254	0.689891	
T212_L255	0.931973	
T212_L256	0.831743	
T212_L257	0.969565	
T212_L258	0.959242	
T212_L259	0.986702	
T212_L25	0.995551	
T212_L260	0.938617	
T212_L261	1.000000	
T212_L262	0.977273	
T212_L263	0.855150	
T212_L264	0.961420	
T212_L265	0.957966	
T212_L266	0.819359	
T212_L267	0.979038	
T212_L268	0.933702	
T212_L269	NA	
T212_L26	NA	
T212_L270	0.902985	
T212_L271	0.987111	
T212_L272	0.887612	
T212_L273	0.809335	
T212_L274	0.914975	
T212_L275	0.797635	
T212_L276	0.825829	
T212_L277	0.882184	
T212_L278	0.854629	
T212_L279	0.838673	
T212_L27	0.931255	
T212_L280	0.948892	
T212_L281	0.976815	
T212_L282	0.984432	
T212_L283	0.927374	
T212_L284	0.921018	
T212_L285	0.968447	
T212_L286	0.992598	
T212_L287	0.970625	
T212_L288	0.801532	
T212_L289	0.931671	
T212_L28	0.923529	
T212_L290	0.958501	
T212_L291	0.923276	
T212_L292	0.991359	
T212_L293	0.978334	
T212_L294	0.979572	
T212_L295	0.894970	
T212_L296	0.933852	
T212_L297	0.815185	
T212_L298	0.949143	
T212_L299	0.952526	
T212_L29	0.832579	
T212_L2	0.837707	
T212_L300	0.899425	
T212_L301	0.967235	
T212_L302	0.961489	
T212_L303	0.863919	
T212_L304	0.751290	
T212_L305	0.907982	
T212_L306	0.938856	
T212_L307	0.945912	
T212_L308	0.942529	
T212_L309	0.989805	
T212_L30	0.885584	
T212_L310	0.795438	
T212_L311	0.958430	
T212_L312	0.860927	
T212_L313	0.993641	
T212_L314	0.899543	
T212_L315	0.945384	
T212_L316	0.924188	
T212_L317	0.962242	
T212_L318	0.983122	
T212_L319	NA	
T212_L31	0.908929	
T212_L320	0.894309	
T212_L321	0.792908	
T212_L322	0.937931	
T212_L323	0.911367	
T212_L324	0.811414	
T212_L325	0.935145	
T212_L326	0.921912	
T212_L327	0.730422	
T212_L328	0.733151	
T212_L329	NA	
T212_L32	0.880247	
T212_L330	0.973435	
T212_L331	0.882022	
T212_L332	0.817995	
T212_L333	0.955147	
T212_L334	0.972436	
T212_L335	0.926471	
T212_L336	0.933817	
T212_L337	0.881201	
T212_L338	0.854962	
T212_L339	0.899225	
T212_L33	0.944647	
T212_L340	0.869893	
T212_L341	0.890520	
T212_L342	0.941836	
T212_L343	0.843813	
T212_L344	0.917473	
T212_L345	0.920984	
T212_L346	0.869153	
T212_L347	0.913894	
T212_L348	0.838710	
T212_L349	NA	
T212_L34	0.734341	
T212_L350	0.966055	
T212_L351	0.898846	
T212_L352	0.966512	
T212_L353	0.948603	
T212_L354	0.836572	
T212_L355	0.871601	
T212_L356	0.894840	
T212_L357	0.976296	
T212_L358	0.893485	
T212_L359	0.968174	
T212_L35	0.921973	
T212_L360	0.963808	
T212_L361	0.933657	
T212_L362	0.954191	
T212_L363	0.912863	
T212_L364	0.924392	
T212_L365	0.816748	
T212_L366	0.945598	
T212_L367	0.880812	
T212_L368	0.955892	
T212_L369	0.976248	
T212_L36	0.836294	
T212_L370	0.918327	
T212_L37	0.930081	
T212_L38	0.833868	
T212_L39	0.994302	
T212_L3	0.810162	
T212_L40	0.994467	
T212_L41	0.914837	
T212_L42	0.942748	
T212_L43	0.856593	
T212_L44	0.867888	
T212_L45	0.933814	
T212_L46	0.899621	
T212_L47	0.993641	
T212_L48	0.982620	
T212_L49	0.974633	
T212_L4	0.838370	
T212_L50	0.918269	
T212_L51	0.963987	
T212_L52	0.894111	
T212_L53	0.769943	
T212_L54	0.796326	
T212_L55	0.987143	
T212_L56	0.930217	
T212_L57	0.902355	
T212_L58	0.910867	
T212_L59	0.978799	
T212_L5	0.834526	
T212_L60	0.914130	
T212_L61	0.961257	
T212_L62	0.904421	
T212_L63	0.945145	
T212_L64	0.807042	
T212_L65	0.805704	
T212_L66	0.944166	
T212_L67	0.952727	
T212_L68	0.936353	
T212_L69	0.944036	
T212_L6	0.777262	
T212_L70	0.956374	
T212_L71	0.994282	
T212_L72	0.980738	
T212_L73	0.958066	
T212_L74	0.833826	
T212_L75	0.848224	
T212_L76	0.810087	
T212_L77	0.982729	
T212_L78	0.831426	
T212_L79	0.861963	
T212_L7	0.883451	
T212_L80	0.785200	
T212_L81	0.946375	
T212_L82	0.952295	
T212_L83	0.746136	
T212_L84	0.895717	
T212_L85	0.902711	
T212_L86	0.754856	
T212_L87	0.897265	
T212_L88	0.916740	
T212_L89	0.989848	
T212_L8	0.796599	
T212_L90	0.941565	
T212_L91	0.967779	
T212_L92	0.955469	
T212_L93	0.727111	
T212_L94	0.983793	
T212_L95	0.829352	
T212_L96	0.787900	
T212_L97	0.945305	
T212_L98	0.921131	
T212_L99	0.763563	
T212_L9	0.917391	
