Locus	Sequences	Columns	Dist_Pat	Pars_Info	Sing_Sites	Cons_Sites	Chi2_Fail	Gaps_Ambig
T212_L356	283	1531	1167	965	119	447	20	1
T212_L357	278	1350	702	547	46	757	2	0
T212_L359	264	597	394	295	50	252	0	0
T212_L36	281	1575	1176	946	89	540	8	0
T212_L360	284	1796	1169	937	85	774	48	0
T212_L362	280	2052	1165	909	79	1064	2	0
T212_L363	279	1446	1015	733	154	559	1	0
T212_L364	285	1111	727	579	59	473	5	0
T212_L365	278	1648	1387	1132	109	407	3	0
T212_L366	281	1397	838	676	51	670	14	0
T212_L367	280	1527	1184	914	128	485	17	0
T212_L368	278	1587	874	669	65	853	8	0
T212_L37	284	1230	956	787	85	358	15	0
T212_L38	282	1236	982	808	64	364	27	0
T212_L40	279	723	447	300	31	392	2	1
T212_L42	283	1834	1187	929	102	803	4	0
T212_L43	284	1039	749	562	106	371	0	0
T212_L45	278	1526	1028	857	98	571	0	0
T212_L46	280	1584	1157	898	104	582	6	0
T212_L48	282	1496	772	669	68	759	8	0
T212_L5	286	1118	878	696	54	368	31	0
T212_L50	283	1456	967	816	58	582	26	0
T212_L51	281	1555	995	792	103	660	12	0
T212_L55	274	1400	699	560	102	738	0	0
T212_L57	270	1440	1138	959	116	365	8	0
T212_L58	287	1636	1198	945	106	585	62	0
T212_L60	282	920	667	476	59	385	47	1
T212_L61	280	955	434	308	60	587	15	1
T212_L62	287	1538	1132	871	110	557	67	0
T212_L63	251	1349	831	680	87	582	11	0
T212_L64	280	1420	1132	936	89	395	4	0
T212_L66	280	1594	872	619	140	835	0	0
T212_L67	284	1650	980	725	116	809	6	0
T212_L68	278	1744	1406	1098	143	503	9	1
T212_L69	284	1769	1415	1086	155	528	5	6
T212_L7	284	1548	1213	931	92	525	82	0
T212_L70	285	1763	1196	932	92	739	4	0
T212_L71	281	1749	1190	856	122	771	2	0
T212_L73	282	1717	1125	908	117	692	3	0
T212_L76	270	1605	1339	1062	96	447	4	1
T212_L82	279	1111	795	627	93	391	21	0
T212_L83	285	1682	1355	1062	83	537	45	3
T212_L85	282	627	455	365	51	211	10	0
T212_L88	282	1141	763	518	61	562	5	0
T212_L90	278	1061	872	682	62	317	28	1
T212_L91	275	1738	961	809	92	837	1	0
T212_L92	281	1280	645	535	57	688	3	0
T212_L93	277	1117	825	746	49	322	4	4
T212_L97	277	1097	732	622	62	413	18	0
T212_L98	274	1344	970	665	110	569	4	1
