Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
AHE-L259	-14616.27	-14565.84	-14566.45	-14564.48	-14566.08	
AHE-L260	-14990.95	-14987.30	-14991.22	-14992.75	-14984.80	
AHE-L261	-15596.98	-15536.82	-15541.07	-15539.75	-15535.61	
AHE-L264	-10411.34	-10398.45	-10400.68	-10400.97	-10396.46	
AHE-L265	-12321.80	-12282.24	-12284.00	-12280.97	-12280.66	
AHE-L267	-18058.09	-18041.11	-18047.88	-18038.64	-18042.15	
AHE-L269	-18505.00	-18466.82	-18467.31	-18470.84	-18465.34	
AHE-L271	-9975.97	-9943.62	-9944.42	-9955.08	-9951.25	
AHE-L273	-17676.36	-17655.54	-17659.21	-17654.03	-17661.28	
AHE-L276	-14434.25	-14405.93	-14412.19	-14403.94	-14407.69	
AHE-L28	-16611.26	-16582.86	-16585.26	-16584.71	-16583.54	
AHE-L282	-7482.91	-7464.28	-7469.63	-7477.57	-7462.85	
AHE-L283	-12866.52	-12853.77	-12851.99	-12854.33	-12854.47	
AHE-L284	-16096.91	-16066.16	-16064.54	-16085.34	-16085.85	
AHE-L285	-12805.69	-12796.99	-12801.81	-12798.65	-12796.43	
AHE-L286	-5553.92	-5551.08	-5548.95	-5550.12	-5555.11	
AHE-L288	-15254.66	-15211.97	-15215.94	-15214.62	-15213.01	
AHE-L289	-13743.22	-13719.80	-13719.02	-13726.72	-13723.99	
AHE-L295	-15772.84	-15754.15	-15758.50	-15751.77	-15757.60	
AHE-L296	-14763.83	-14713.80	-14713.05	-14713.96	-14712.46	
AHE-L297	-11324.04	-11285.64	-11285.24	-11283.71	-11290.47	
AHE-L30	-14400.64	-14356.08	-14364.52	-14366.28	-14357.42	
AHE-L305	-7755.75	-7728.90	-7729.49	-7727.97	-7731.36	
AHE-L306	-13514.75	-13523.44	-13523.31	-13531.02	-13528.29	
AHE-L307	-12296.88	-12260.78	-12261.58	-12280.87	-12280.21	
AHE-L309	-17031.36	-17007.02	-17005.57	-17008.66	-17006.28	
AHE-L314	-13977.68	-13952.62	-13953.78	-13965.63	-13968.59	
AHE-L315	-10840.01	-10802.25	-10816.65	-10799.91	-10816.91	
AHE-L317	-9479.37	-9460.57	-9462.60	-9465.16	-9458.21	
AHE-L322	-8936.26	-8909.51	-8909.61	-8912.11	-8907.76	
AHE-L327	-11556.91	-11563.36	-11564.40	-11568.47	-11562.80	
AHE-L333	-16164.57	-16152.09	-16154.26	-16151.61	-16158.29	
AHE-L34	-15975.87	-15939.46	-15938.09	-15948.66	-15941.26	
AHE-L340	-11787.21	-11743.33	-11751.26	-11752.35	-11742.38	
AHE-L341	-13311.53	-13299.26	-13299.46	-13299.72	-13297.79	
AHE-L343	-3906.70	-3904.93	-3905.35	-3906.63	-3903.74	
AHE-L350	-11084.83	-11089.12	-11096.01	-11088.96	-11093.49	
AHE-L352	-12882.08	-12853.02	-12851.75	-12854.78	-12852.09	
AHE-L357	-13204.47	-13176.72	-13176.64	-13175.74	-13181.25	
AHE-L36	-16473.08	-16407.03	-16408.35	-16412.60	-16405.96	
AHE-L361	-12963.40	-12963.29	-12963.83	-12961.00	-12963.86	
AHE-L362	-14833.67	-14785.12	-14786.94	-14784.35	-14787.98	
AHE-L364	-7007.33	-6998.44	-6995.61	-7003.02	-7003.17	
AHE-L365	-16350.28	-16343.39	-16344.57	-16342.82	-16343.55	
AHE-L366	-16587.58	-16576.12	-16577.69	-16584.13	-16579.03	
AHE-L368	-15026.66	-15007.90	-15006.31	-15009.49	-15009.77	
AHE-L371	-12639.36	-12649.16	-12648.53	-12657.37	-12652.44	
AHE-L372	-18731.43	-18674.11	-18678.40	-18674.95	-18671.93	
AHE-L377	-16030.61	-16000.67	-16005.69	-16008.39	-16000.56	
AHE-L378	-13552.61	-13527.54	-13536.40	-13526.95	-13535.65	
AHE-L379	-15132.84	-15098.30	-15096.33	-15098.43	-15101.99	
AHE-L381	-17158.89	-17119.71	-17121.30	-17121.40	-17119.02	
AHE-L382	-17136.98	-17109.10	-17125.56	-17115.41	-17109.00	
AHE-L386	-16316.89	-16262.52	-16266.07	-16267.39	-16259.14	
AHE-L39	-15446.92	-15427.29	-15424.27	-15431.14	-15424.36	
AHE-L390	-18790.84	-18775.35	-18774.34	-18779.88	-18778.52	
AHE-L393	-18084.69	-18042.89	-18056.27	-18053.86	-18042.36	
AHE-L394	-14134.45	-14110.33	-14109.02	-14108.51	-14108.13	
AHE-L395	-18695.70	-18623.04	-18633.02	-18630.16	-18621.95	
AHE-L397	-10853.07	-10818.62	-10817.52	-10817.07	-10824.83	
AHE-L40	-16927.66	-16893.96	-16893.62	-16895.27	-16896.94	
AHE-L400	-6301.20	-6285.87	-6286.46	-6285.27	-6286.51	
AHE-L42	-10471.11	-10449.81	-10447.41	-10452.61	-10445.93	
AHE-L49	-12991.44	-12965.69	-12966.86	-12964.40	-12971.20	
AHE-L52	-14450.88	-14420.40	-14420.92	-14421.55	-14423.72	
AHE-L53	-4982.51	-4982.06	-4983.88	-4984.69	-4981.72	
AHE-L55	-12186.72	-12156.69	-12156.19	-12175.26	-12166.58	
AHE-L56	-16941.19	-16890.85	-16887.51	-16895.72	-16896.70	
AHE-L57	-7640.35	-7613.56	-7615.82	-7612.46	-7614.25	
AHE-L59	-8362.91	-8349.28	-8356.04	-8349.52	-8355.09	
AHE-L61	-17042.93	-16998.17	-16998.13	-16998.38	-17004.61	
AHE-L63	-14870.93	-14828.41	-14842.68	-14841.55	-14826.77	
AHE-L75	-16951.45	-16914.22	-16922.81	-16924.72	-16912.68	
AHE-L76	-15048.55	-15035.88	-15037.43	-15037.01	-15036.48	
AHE-L80	-8780.95	-8769.04	-8771.50	-8770.24	-8769.19	
AHE-L82	-9338.76	-9304.11	-9305.44	-9305.81	-9305.39	
AHE-L84	-13634.19	-13613.29	-13610.72	-13610.03	-13612.54	
AHE-L86	-7516.65	-7498.22	-7500.19	-7497.13	-7499.44	
AHE-L87	-13412.31	-13418.41	-13424.50	-13425.59	-13417.11	
AHE-L88	-10504.86	-10480.59	-10479.80	-10482.79	-10482.66	
AHE-L89	-14517.32	-14486.99	-14489.43	-14484.30	-14491.64	
AHE-L93	-14172.37	-14165.21	-14168.99	-14170.52	-14164.01	
AHE-L96	-16224.52	-16235.10	-16237.61	-16238.35	-16236.64	
gene-BDNF	-7569.32	-7559.20	-7557.21	-7558.97	-7560.96	
gene-BMP2	-9804.94	-9789.86	-9791.02	-9790.14	-9792.33	
gene-ECEL	-3132.43	-3116.88	-3117.07	-3116.60	-3117.20	
gene-ENC1	-13227.77	-13184.03	-13178.50	-13186.13	-13190.31	
gene-FSHR	-12440.29	-12419.74	-12425.11	-12418.15	-12419.66	
gene-FSTL5	-7731.94	-7715.99	-7716.04	-7715.79	-7717.21	
gene-GALR1	-11050.22	-11017.23	-11027.66	-11016.31	-11021.25	
gene-LRRN1	-5058.99	-5017.47	-5015.83	-5023.27	-5022.86	
gene-LZTSS1	-8155.89	-8141.63	-8140.15	-8149.24	-8145.10	
gene-NGFB	-8657.81	-8649.57	-8653.03	-8654.79	-8650.56	
gene-PNN	-8102.29	-8083.81	-8088.85	-8090.09	-8081.71	
gene-SLC8A1	-15142.85	-15091.27	-15090.09	-15090.30	-15091.30	
gene-ZFP36L1	-4682.49	-4705.30	-4708.36	-4704.07	-4709.65	
missingCladeDir	NA	NA	NA	NA	NA	
uce-10	-2784.40	-2776.78	-2776.77	-2776.13	-2775.68	
uce-1003	-3448.90	-3443.53	-3445.37	-3444.81	-3441.99	
uce-1004	-4806.62	-4795.11	-4795.19	-4793.42	-4794.14	
uce-1005	-3524.94	-3523.56	-3522.45	-3523.56	-3523.79	
uce-1008	-6283.81	-6275.38	-6273.67	-6281.25	-6276.04	
uce-101	-8061.94	-8049.65	-8048.37	-8051.12	-8050.49	
uce-1010	-5067.88	-5042.46	-5042.67	-5043.39	-5042.59	
uce-1012	-4503.87	-4494.53	-4494.94	-4493.58	-4493.56	
uce-1013	-4463.23	-4464.01	-4468.08	-4462.11	-4467.75	
uce-1014	-4800.89	-4802.14	-4801.13	-4806.77	-4805.79	
uce-1017	-5586.91	-5589.17	-5591.59	-5589.04	-5588.83	
uce-1018	-3662.01	-3633.65	-3635.72	-3635.68	-3632.80	
uce-102	-4788.58	-4775.40	-4775.17	-4776.12	-4776.21	
uce-1021	-5287.38	-5278.68	-5281.44	-5281.26	-5278.25	
uce-1025	-2889.09	-2887.50	-2888.07	-2887.76	-2887.86	
uce-1026	-2824.86	-2824.46	-2824.14	-2824.24	-2822.34	
uce-1027	-4183.97	-4183.38	-4184.65	-4184.11	-4182.37	
uce-1029	-3294.59	-3287.17	-3287.54	-3287.22	-3286.82	
uce-1031	-3662.51	-3655.52	-3655.79	-3656.59	-3655.71	
uce-1034	-6766.03	-6742.71	-6743.55	-6741.87	-6744.55	
uce-1035	-2856.29	-2854.10	-2854.02	-2853.65	-2853.23	
uce-1036	-2741.80	-2734.90	-2736.13	-2735.72	-2734.32	
uce-1037	-4121.63	-4122.33	-4123.55	-4124.54	-4120.60	
uce-1038	-5371.04	-5366.67	-5368.63	-5368.54	-5365.47	
uce-1039	-5962.45	-5929.14	-5928.65	-5927.26	-5928.37	
uce-1040	-2742.90	-2744.82	-2745.05	-2745.03	-2745.18	
uce-1041	-6475.80	-6473.97	-6475.88	-6471.06	-6471.47	
uce-1043	-3724.30	-3717.08	-3720.71	-3717.93	-3716.95	
uce-1044	-4263.75	-4258.93	-4260.83	-4263.64	-4257.13	
uce-1047	-6685.13	-6676.04	-6676.59	-6677.38	-6674.77	
uce-1048	-6766.03	-6748.20	-6749.81	-6748.97	-6747.44	
uce-105	-1127.57	-1126.49	-1125.56	-1126.25	-1126.75	
uce-1050	-5088.67	-5091.84	-5092.86	-5093.90	-5091.68	
uce-1051	-5300.73	-5299.42	-5299.95	-5300.87	-5300.12	
uce-1052	-4813.29	-4802.81	-4804.43	-4804.39	-4804.17	
uce-1053	-6247.22	-6245.41	-6243.02	-6243.70	-6246.31	
uce-1054	-3762.08	-3736.44	-3738.02	-3735.53	-3736.01	
uce-1055	-5940.31	-5906.75	-5908.25	-5907.99	-5908.38	
uce-1056	-4847.22	-4823.96	-4824.43	-4825.82	-4824.53	
uce-1058	-4490.90	-4472.35	-4475.33	-4475.30	-4471.84	
uce-1059	-4116.11	-4106.63	-4107.58	-4107.29	-4106.85	
uce-106	-4837.32	-4838.40	-4838.85	-4838.61	-4838.51	
uce-1060	-5181.58	-5167.37	-5170.55	-5170.82	-5166.55	
uce-1061	-6235.84	-6233.14	-6235.70	-6235.38	-6231.48	
uce-1062	-3575.82	-3576.82	-3577.23	-3581.18	-3580.27	
uce-1063	-6968.21	-6968.65	-6967.79	-6968.74	-6968.03	
uce-1064	-3263.42	-3252.66	-3253.43	-3251.33	-3254.33	
uce-1065	-3079.96	-3075.80	-3075.00	-3079.96	-3078.62	
uce-1068	-5812.08	-5798.67	-5799.29	-5800.10	-5797.09	
uce-1069	-3289.89	-3284.08	-3288.77	-3282.57	-3290.05	
uce-1070	-5599.04	-5588.21	-5588.66	-5589.24	-5589.46	
uce-1072	-6890.52	-6895.14	-6894.68	-6896.20	-6895.22	
uce-1077	-6815.15	-6808.77	-6810.39	-6810.82	-6810.08	
uce-1081	-5691.22	-5686.77	-5686.54	-5686.28	-5687.34	
uce-1083	-5260.60	-5243.19	-5243.54	-5249.41	-5247.81	
uce-1084	-3635.00	-3618.84	-3618.48	-3622.08	-3618.59	
uce-1085	-4470.18	-4454.81	-4455.96	-4453.95	-4454.04	
uce-1088	-2993.01	-2989.32	-2994.34	-2994.44	-2988.62	
uce-1089	-3858.29	-3855.69	-3854.58	-3858.45	-3858.37	
uce-1090	-5121.14	-5117.40	-5116.05	-5117.53	-5118.71	
uce-1092	-3415.76	-3414.04	-3416.97	-3414.01	-3413.22	
uce-1093	-4701.60	-4675.81	-4674.51	-4676.94	-4677.58	
uce-1094	-5574.82	-5539.05	-5538.57	-5547.41	-5545.18	
uce-1098	-6650.31	-6632.49	-6633.35	-6630.88	-6634.53	
uce-11	-5385.35	-5372.81	-5371.27	-5378.08	-5376.36	
uce-110	-4643.18	-4630.82	-4630.78	-4634.09	-4634.75	
uce-1100	-7582.18	-7574.23	-7576.16	-7576.73	-7573.67	
uce-1101	-6249.10	-6222.36	-6222.24	-6221.88	-6222.32	
uce-1102	-6300.55	-6279.02	-6279.57	-6280.80	-6280.12	
uce-1107	-5926.37	-5931.24	-5931.48	-5931.92	-5931.44	
uce-111	-7170.08	-7156.39	-7158.61	-7159.00	-7154.82	
uce-1110	-5841.44	-5840.72	-5845.35	-5847.56	-5840.68	
uce-1113	-4261.38	-4255.11	-4253.25	-4254.65	-4254.70	
uce-1119	-4468.10	-4479.29	-4479.55	-4480.65	-4479.60	
uce-1120	-4015.74	-4010.18	-4015.25	-4016.55	-4008.46	
uce-1121	-3417.76	-3404.99	-3403.92	-3409.07	-3407.63	
uce-1122	-4867.83	-4859.17	-4858.39	-4862.15	-4863.28	
uce-1123	-6282.13	-6267.12	-6272.20	-6273.11	-6265.86	
uce-1126	-5128.27	-5122.62	-5124.63	-5121.57	-5122.64	
uce-1127	-3500.29	-3500.67	-3505.99	-3499.08	-3501.54	
uce-1128	-2513.49	-2490.66	-2490.32	-2495.61	-2495.50	
uce-1131	-6586.51	-6572.79	-6571.48	-6573.65	-6573.66	
uce-1133	-6052.10	-6023.04	-6026.77	-6025.85	-6022.75	
uce-1134	-3050.48	-3029.19	-3029.09	-3029.82	-3029.37	
uce-1135	-6327.78	-6317.23	-6318.39	-6318.60	-6315.81	
uce-1136	-3450.41	-3448.55	-3446.88	-3448.85	-3447.88	
uce-1138	-7485.86	-7471.28	-7469.83	-7473.11	-7471.83	
uce-1139	-4349.00	-4330.09	-4329.32	-4329.85	-4330.24	
uce-114	-2140.62	-2129.56	-2130.18	-2130.02	-2129.52	
uce-1141	-6867.90	-6863.41	-6864.81	-6866.18	-6865.48	
uce-1143	-5323.01	-5323.56	-5326.36	-5326.24	-5323.55	
uce-1148	-5657.84	-5595.29	-5599.59	-5597.13	-5594.32	
uce-1149	-3690.36	-3667.81	-3667.47	-3670.39	-3667.91	
uce-115	-6202.79	-6209.93	-6208.66	-6209.36	-6211.32	
uce-1150	-9243.34	-9236.51	-9237.84	-9239.95	-9239.94	
uce-1154	-6860.52	-6837.31	-6835.05	-6838.29	-6841.12	
uce-1155	-4395.47	-4399.86	-4399.96	-4399.83	-4402.07	
uce-1157	-3382.52	-3376.40	-3380.14	-3376.29	-3376.82	
uce-1158	-5347.00	-5332.60	-5332.12	-5332.18	-5332.79	
uce-1159	-4699.82	-4673.65	-4679.19	-4677.99	-4672.66	
uce-1161	-4634.86	-4600.54	-4602.76	-4601.08	-4601.14	
uce-1162	-4719.78	-4708.30	-4708.88	-4707.17	-4709.16	
uce-1163	-5254.47	-5240.39	-5239.18	-5244.61	-5244.13	
uce-1167	-3635.35	-3621.18	-3621.49	-3622.03	-3620.88	
uce-1168	-3796.45	-3791.53	-3792.34	-3791.37	-3790.81	
uce-1169	-4621.31	-4593.58	-4593.76	-4592.84	-4593.66	
uce-117	-4540.61	-4528.87	-4532.66	-4530.79	-4528.34	
uce-1170	-5659.05	-5650.31	-5651.23	-5650.23	-5650.46	
uce-1172	-7859.10	-7844.53	-7844.96	-7847.57	-7845.75	
uce-1173	-4630.17	-4626.72	-4631.90	-4628.15	-4624.86	
uce-1174	-4972.58	-4969.55	-4969.32	-4970.19	-4969.99	
uce-1176	-2723.26	-2706.50	-2706.66	-2707.12	-2705.52	
uce-1177	-1566.46	-1569.15	-1570.32	-1571.39	-1569.34	
uce-1178	-6791.93	-6779.48	-6782.61	-6778.07	-6782.55	
uce-1181	-6414.73	-6401.82	-6401.13	-6400.67	-6400.92	
uce-1182	-2430.94	-2421.53	-2421.29	-2421.92	-2420.21	
uce-1183	-3165.03	-3156.44	-3158.37	-3159.06	-3155.55	
uce-1185	-6993.74	-6981.26	-6983.35	-6981.65	-6981.55	
uce-1187	-5631.84	-5616.91	-5625.11	-5625.49	-5615.89	
uce-1188	-4733.06	-4714.02	-4719.89	-4719.69	-4713.68	
uce-119	-2470.38	-2476.03	-2476.59	-2475.75	-2475.43	
uce-1190	-4834.52	-4814.16	-4814.64	-4814.30	-4814.09	
uce-1191	-5132.04	-5132.10	-5135.75	-5130.36	-5135.45	
uce-1192	-4764.10	-4740.99	-4739.72	-4743.79	-4742.06	
uce-1193	-4456.24	-4428.03	-4426.08	-4432.92	-4431.67	
uce-1194	-6527.42	-6521.32	-6522.48	-6523.64	-6523.02	
uce-12	-6538.15	-6506.91	-6505.76	-6509.26	-6510.33	
uce-120	-3819.21	-3805.32	-3812.35	-3803.79	-3809.50	
uce-1200	-4436.57	-4426.97	-4426.68	-4433.50	-4432.64	
uce-1201	-4064.09	-4053.17	-4060.93	-4051.63	-4057.66	
uce-1202	-6328.79	-6307.51	-6306.74	-6306.88	-6306.95	
uce-1203	-7311.52	-7283.08	-7282.72	-7286.26	-7282.42	
uce-1204	-5469.83	-5454.08	-5455.45	-5453.00	-5455.87	
uce-1205	-4695.09	-4685.39	-4689.69	-4690.84	-4683.98	
uce-1206	-2917.68	-2925.13	-2926.44	-2927.28	-2924.07	
uce-1207	-5283.52	-5287.32	-5290.24	-5291.87	-5285.22	
uce-1209	-4962.87	-4954.04	-4956.11	-4952.19	-4954.10	
uce-121	-4732.39	-4730.85	-4731.37	-4732.30	-4730.33	
uce-1210	-5578.55	-5571.23	-5571.19	-5572.18	-5571.24	
uce-1211	-3705.29	-3700.91	-3702.00	-3701.25	-3701.11	
uce-1212	-2237.04	-2242.46	-2242.11	-2242.06	-2242.73	
uce-1215	-5785.46	-5776.96	-5781.99	-5781.60	-5773.65	
uce-1216	-4398.69	-4394.74	-4393.93	-4393.96	-4394.73	
uce-1217	-2974.47	-2963.13	-2972.11	-2961.01	-2976.00	
uce-1219	-1983.55	-1978.99	-1979.92	-1978.94	-1979.82	
uce-1222	-2657.04	-2656.93	-2661.27	-2657.42	-2659.68	
uce-1224	-4968.04	-4960.34	-4959.54	-4962.47	-4967.93	
uce-1225	-3052.98	-3046.89	-3045.89	-3046.89	-3047.19	
uce-1231	-3314.99	-3318.95	-3318.16	-3319.81	-3320.48	
uce-1232	-5719.99	-5707.55	-5709.57	-5712.95	-5706.88	
uce-1233	-3422.87	-3418.37	-3417.26	-3418.52	-3418.82	
uce-1234	-6035.25	-6024.48	-6026.93	-6027.55	-6025.88	
uce-1236	-6096.35	-6098.17	-6098.05	-6097.26	-6096.36	
uce-1239	-6259.67	-6244.81	-6246.79	-6244.38	-6246.24	
uce-124	-3761.22	-3748.32	-3748.41	-3750.35	-3747.31	
uce-1241	-5832.61	-5827.10	-5826.26	-5827.51	-5827.25	
uce-1242	-5104.04	-5086.01	-5089.42	-5087.91	-5088.18	
uce-1243	-3580.39	-3586.10	-3592.87	-3584.65	-3586.36	
uce-1245	-4628.90	-4615.53	-4618.37	-4617.73	-4615.29	
uce-1246	-5446.41	-5437.10	-5438.69	-5439.07	-5438.01	
uce-125	-4239.63	-4231.48	-4230.48	-4232.88	-4232.58	
uce-1250	-8536.57	-8532.61	-8538.90	-8530.24	-8537.54	
uce-1251	-2262.99	-2250.88	-2251.46	-2251.37	-2250.14	
uce-1252	-3369.32	-3361.52	-3360.94	-3364.95	-3365.26	
uce-1253	-6403.73	-6388.34	-6390.02	-6387.54	-6388.89	
uce-1255	-5518.61	-5515.58	-5515.85	-5515.07	-5516.98	
uce-1256	-3560.51	-3546.28	-3545.45	-3549.69	-3549.90	
uce-1257	-4583.46	-4564.31	-4563.93	-4564.94	-4565.99	
uce-1259	-3687.60	-3672.48	-3673.05	-3673.58	-3671.46	
uce-1260	-6084.69	-6047.62	-6045.56	-6047.06	-6046.82	
uce-1263	-3850.91	-3842.73	-3842.13	-3840.70	-3843.15	
uce-1264	-4298.49	-4277.67	-4277.54	-4277.29	-4276.71	
uce-1265	-3869.09	-3863.36	-3861.37	-3865.15	-3864.91	
uce-1267	-5651.24	-5647.16	-5647.46	-5647.40	-5648.27	
uce-1268	-4911.74	-4919.75	-4920.90	-4918.41	-4920.62	
uce-127	-6581.73	-6551.60	-6552.02	-6552.60	-6550.07	
uce-1270	-4380.32	-4371.57	-4371.55	-4371.45	-4370.69	
uce-1271	-5650.08	-5633.05	-5636.27	-5634.61	-5632.60	
uce-1272	-6580.99	-6580.34	-6582.68	-6580.71	-6582.86	
uce-1276	-5536.17	-5529.45	-5527.64	-5531.56	-5531.67	
uce-1277	-2875.94	-2872.78	-2873.11	-2872.76	-2872.76	
uce-1278	-7885.26	-7889.64	-7898.60	-7897.66	-7890.04	
uce-128	-4607.25	-4605.57	-4607.17	-4604.05	-4606.06	
uce-1281	-6366.33	-6364.27	-6363.16	-6363.96	-6363.19	
uce-1285	-4426.76	-4408.47	-4413.00	-4411.29	-4407.51	
uce-1286	-2322.15	-2305.26	-2303.51	-2306.44	-2310.01	
uce-1288	-3203.86	-3203.48	-3203.50	-3202.83	-3204.10	
uce-129	-7488.64	-7488.39	-7487.66	-7489.50	-7489.46	
uce-1290	-5441.51	-5443.62	-5443.32	-5448.57	-5448.73	
uce-1291	-5133.05	-5133.51	-5136.35	-5137.21	-5133.51	
uce-1295	-5636.63	-5625.42	-5631.82	-5624.67	-5627.09	
uce-1298	-4996.44	-4990.61	-5010.42	-4987.99	-5010.64	
uce-1299	-5275.01	-5265.26	-5265.94	-5265.43	-5264.01	
uce-1300	-6226.81	-6219.99	-6223.42	-6217.58	-6223.97	
uce-1301	-4186.66	-4182.76	-4181.47	-4182.07	-4182.16	
uce-1304	-4391.56	-4380.58	-4385.25	-4384.71	-4381.35	
uce-1305	-4388.20	-4388.42	-4387.92	-4391.12	-4392.94	
uce-1306	-4288.50	-4297.65	-4296.43	-4299.26	-4296.87	
uce-1307	-6528.77	-6510.34	-6515.93	-6518.71	-6508.42	
uce-1309	-4442.46	-4431.56	-4432.35	-4432.13	-4431.66	
uce-131	-4759.99	-4758.91	-4759.08	-4760.30	-4759.44	
uce-1311	-6182.20	-6161.38	-6161.31	-6163.94	-6166.28	
uce-1313	-4724.49	-4726.61	-4729.58	-4723.85	-4729.65	
uce-1314	-5400.95	-5395.29	-5396.53	-5395.98	-5393.64	
uce-1318	-4701.07	-4682.49	-4683.36	-4682.96	-4682.75	
uce-1319	-5177.05	-5166.32	-5166.55	-5165.15	-5166.56	
uce-132	-4358.57	-4353.40	-4354.05	-4354.19	-4351.90	
uce-1322	-5365.32	-5366.62	-5367.95	-5365.88	-5367.90	
uce-1323	-5572.27	-5554.56	-5555.55	-5555.02	-5553.62	
uce-1324	-2553.46	-2556.12	-2555.15	-2559.33	-2558.94	
