Locus	Sclero	ToxPoly
uce-1298	-3745.3941	-3742.2120	
uce-1299	-3338.9934	-3336.3141	
uce-1300	-3522.0782	-3519.1939	
uce-1301	-2486.4175	-2483.0469	
uce-1304	-2517.9218	-2515.6870	
uce-1305	-2687.4626	-2693.3249	
uce-1306	-2009.2346	-2002.2422	
uce-1307	-3998.2845	-3991.3907	
uce-1309	-2886.4445	-2881.4428	
uce-131	-3447.4571	-3446.9552	
uce-1311	-3747.9900	-3743.0806	
uce-1313	-3216.5926	-3211.2502	
uce-1314	-4559.6871	-4562.4698	
uce-1318	-2570.8614	-2566.5588	
uce-1319	-3308.1054	-3305.6102	
uce-132	-3341.0019	-3339.7620	
uce-1322	-3883.2892	-3885.9435	
uce-1323	-3419.2514	-3413.6039	
uce-1326	-2246.0071	-2242.6404	
uce-1329	-3486.7572	-3480.9648	
uce-1333	-1692.6977	-1689.8825	
uce-1334	-3403.1193	-3400.8425	
uce-1335	-2255.4470	-2253.0820	
uce-1336	-1148.5862	-1145.3025	
uce-1339	-1384.4399	-1379.5867	
uce-134	-1780.2713	-1772.8056	
uce-1342	-3729.5223	-3723.3594	
uce-1344	-4100.6916	-4095.3238	
uce-1345	-2765.8975	-2759.7190	
uce-1346	-2599.0966	-2590.5756	
uce-1348	-3760.9095	-3762.4814	
uce-1349	-3875.2032	-3864.4828	
uce-1350	-2021.6098	-2021.0391	
uce-1351	-3719.8197	-3716.1565	
uce-1354	-2691.6559	-2689.9642	
uce-1357	-4122.6449	-4122.2343	
uce-1358	-2089.7906	-2088.1834	
uce-1359	-3292.0680	-3294.6266	
uce-136	-4937.6048	-4938.3355	
uce-1360	-2979.7586	-2974.2397	
uce-1361	-2298.2427	-2298.0710	
uce-1362	-3520.8047	-3517.6050	
uce-1363	-3446.1679	-3446.7432	
uce-1366	-3743.5467	-3743.5014	
uce-1367	-2898.7236	-2894.7186	
uce-1368	-3133.4975	-3131.9723	
uce-1371	-3775.4953	-3771.8263	
uce-1374	-3154.2548	-3151.2792	
uce-1375	-2438.6049	-2435.8640	
uce-1376	-4106.1148	-4111.6123	
uce-1378	-4518.3471	-4514.3023	
uce-1381	-2754.0333	-2783.2260	
uce-1383	-3378.9402	-3383.4569	
uce-1384	-3469.7056	-3465.0301	
uce-1385	-2625.0971	-2619.1279	
uce-1389	-2404.4633	-2398.7601	
uce-139	-2703.6622	-2700.5018	
uce-1390	-4717.3660	-4712.8107	
uce-1392	-2447.0150	-2442.5398	
uce-1393	-2481.2657	-2482.5350	
uce-1394	-3167.4571	-3166.6929	
uce-1395	-4145.2411	-4144.7571	
uce-1396	-476.4283	-477.4505	
uce-1397	-2226.0074	-2218.7874	
uce-14	-1316.3672	-1313.1775	
uce-1402	-3664.0260	-3667.4785	
uce-1403	-4610.7899	-4607.7264	
uce-1405	-4305.1365	-4304.8064	
uce-1408	-6181.8378	-6179.7089	
uce-1410	-1857.5858	-1864.3193	
uce-1412	-3961.6881	-3962.3782	
uce-1413	-3394.6736	-3393.8527	
uce-1415	-3237.7300	-3231.8712	
uce-1417	-1762.7129	-1759.8487	
uce-1419	-3760.6498	-3759.5771	
uce-142	-1728.0780	-1724.5489	
uce-1420	-757.4427	-752.6271	
uce-1422	-2572.5861	-2570.6938	
uce-1423	-3262.8254	-3256.6043	
uce-1424	-4707.7996	-4706.3789	
uce-1425	-4059.8662	-4061.5223	
uce-1427	-2824.7733	-2824.7772	
uce-143	-1572.3792	-1570.1483	
uce-1430	-1455.1564	-1453.1421	
uce-1434	-3597.5844	-3599.0302	
uce-1435	-3216.6394	-3212.2311	
uce-1438	-1646.0373	-1644.4434	
uce-144	-1597.0779	-1597.0215	
uce-1442	-3140.6762	-3134.2994	
uce-1446	-3526.4325	-3524.7819	
uce-1447	-2864.1457	-2868.3355	
uce-1450	-4350.4642	-4349.0746	
uce-1451	-4030.0358	-4028.0589	
uce-1453	-3021.9884	-3020.4361	
uce-1454	-4197.1251	-4198.1091	
uce-1456	-5824.9283	-5821.9906	
uce-1457	-2927.0168	-2920.5902	
uce-1458	-2141.3031	-2138.0509	
uce-146	-2618.0774	-2617.2030	
uce-1462	-4530.0314	-4526.8647	
uce-1463	-4288.3060	-4283.9547	
uce-1466	-3147.3205	-3141.0018	
uce-1467	-3446.0819	-3442.5703	
uce-1468	-3026.4547	-3022.0431	
uce-1469	-2738.8539	-2736.7619	
uce-147	-2303.0372	-2305.9087	
uce-1470	-2873.5216	-2869.2169	
uce-1471	-1581.2017	-1577.9469	
uce-1474	-2686.5177	-2691.0892	
uce-1476	-2589.3983	-2588.3202	
uce-1477	-2558.4895	-2551.7674	
uce-1478	-3848.7576	-3845.9985	
uce-148	-2479.6350	-2470.1101	
uce-1480	-2683.9485	-2684.1597	
uce-1482	-2114.3235	-2115.8908	
uce-1483	-4080.6366	-4076.2198	
uce-1484	-2883.2134	-2888.8051	
uce-1485	-3975.9000	-3958.7784	
uce-1488	-3173.9193	-3173.3665	
uce-1489	-3052.4636	-3048.3792	
uce-149	-2093.3865	-2087.6138	
uce-1490	-4023.3536	-4005.7713	
uce-1492	-2701.0854	-2699.2903	
uce-1497	-3287.6300	-3285.3754	
uce-1498	-2502.0054	-2479.3181	
uce-1499	-2186.0482	-2182.2758	
uce-15	-1852.0252	-1851.6869	
uce-1500	-4250.0721	-4253.9149	
uce-1501	-2527.3069	-2525.5436	
uce-1504	-2367.7111	-2367.7102	
uce-1506	-4370.0643	-4370.7424	
uce-1507	-804.6247	-803.5702	
uce-1508	-2566.5409	-2568.8917	
uce-1509	-3618.8255	-3617.4044	
uce-1511	-3400.8741	-3400.9853	
uce-1512	-2425.4507	-2425.3450	
uce-1514	-4544.7083	-4543.7450	
uce-1520	-3060.3707	-3057.3263	
uce-1523	-3258.7131	-3251.7442	
uce-1526	-2578.9562	-2582.4187	
uce-1528	-2310.4509	-2303.9871	
uce-1529	-1713.6738	-1710.2701	
uce-153	-4565.7808	-4560.4355	
uce-1530	-1711.1334	-1710.4660	
uce-1531	-3203.4394	-3205.5569	
uce-1533	-3254.3191	-3243.4757	
uce-1535	-2646.9180	-2649.6670	
uce-1538	-1390.8456	-1387.6098	
uce-1539	-2396.5377	-2399.8579	
uce-154	-1841.8750	-1841.8745	
uce-1540	-3030.3522	-3031.0819	
uce-1544	-2478.3187	-2473.7029	
uce-1545	-3792.6207	-3787.2684	
uce-1547	-2012.6685	-2011.4070	
uce-1550	-2633.3327	-2632.5019	
uce-1552	-4081.7999	-4077.9801	
uce-1555	-1737.5033	-1736.4290	
uce-1556	-2235.1637	-2237.6147	
uce-1558	-3132.4414	-3133.9277	
uce-1560	-3419.6394	-3417.6586	
uce-1561	-5135.5667	-5137.8639	
uce-1562	-2594.9391	-2598.6112	
uce-1563	-3427.0666	-3427.8015	
uce-1564	-4579.0101	-4580.8177	
uce-1565	-3818.0201	-3816.5657	
uce-1566	-2006.8209	-2002.2287	
uce-1568	-2902.8154	-2901.1064	
uce-1569	-3770.8027	-3766.8806	
uce-157	-4510.1428	-4501.5666	
uce-1570	-1153.1848	-1155.4324	
uce-1572	-2690.5475	-2685.9074	
uce-1573	-1970.2832	-1965.7678	
uce-1576	-1829.1250	-1827.1485	
uce-1579	-2423.0984	-2423.5928	
uce-1580	-2001.5420	-1998.5557	
uce-1581	-3122.6425	-3120.5823	
uce-1582	-1643.3668	-1644.5137	
uce-1586	-3069.0277	-3056.2271	
uce-1588	-1690.0164	-1690.0180	
uce-1590	-3693.8293	-3692.0329	
uce-1591	-2322.5992	-2320.5296	
uce-1594	-3233.0887	-3228.9293	
uce-1597	-3407.3253	-3406.9000	
uce-1598	-4134.8757	-4128.1597	
uce-16	-3426.1546	-3420.2201	
uce-1600	-3237.2682	-3235.2700	
uce-1601	-740.7667	-741.8494	
uce-1602	-1810.5237	-1807.9599	
uce-1606	-3127.5365	-3124.8323	
uce-161	-1305.5121	-1305.0101	
uce-1610	-1059.0740	-1061.6292	
uce-1611	-2959.2096	-2959.2085	
uce-1613	-3083.4602	-3083.7995	
uce-1614	-3190.7500	-3178.0741	
uce-1616	-2480.8170	-2479.2909	
uce-1618	-3169.9431	-3173.3650	
uce-162	-1552.5115	-1549.5525	
uce-1621	-2030.3465	-2029.4255	
uce-1622	-2197.0740	-2197.5629	
uce-1624	-4534.8421	-4529.4321	
uce-1625	-1915.6596	-1919.0965	
uce-1629	-2549.4685	-2547.8824	
uce-1630	-2957.2581	-2954.2650	
uce-1631	-3953.4626	-3952.4878	
uce-1633	-2224.3126	-2224.6052	
uce-1634	-3957.4542	-3955.2532	
uce-1636	-1273.0626	-1265.3972	
uce-1639	-2882.0036	-2884.0315	
uce-1641	-2676.6565	-2676.8620	
uce-1642	-2875.2374	-2872.8500	
uce-1643	-1871.2454	-1870.8520	
uce-1644	-2514.6727	-2509.3159	
uce-1645	-2615.7133	-2611.9149	
uce-1648	-2777.2259	-2770.2691	
uce-1649	-1609.7180	-1607.5795	
uce-1650	-3964.8575	-3965.2040	
uce-1652	-3194.3608	-3182.4598	
uce-1653	-777.4079	-776.1178	
uce-1655	-4515.4762	-4508.5003	
uce-1658	-3559.1537	-3560.5330	
uce-1659	-2063.4311	-2062.6165	
uce-166	-3950.6831	-3952.1899	
uce-1660	-3387.7696	-3387.8436	
uce-1662	-2529.2222	-2525.0891	
uce-1667	-1923.7396	-1923.2921	
uce-1671	-3594.4720	-3596.5304	
uce-1675	-3543.3180	-3529.2188	
uce-1677	-4314.9646	-4315.0541	
uce-1678	-2550.0179	-2533.5315	
uce-1679	-3150.9264	-3148.4443	
uce-1680	-2123.5805	-2119.7653	
uce-1683	-3261.7883	-3259.4826	
uce-1685	-793.0537	-785.8398	
uce-1689	-2378.4815	-2378.9893	
uce-169	-4034.8633	-4030.3034	
uce-1690	-2393.4265	-2391.9979	
uce-1692	-2351.0210	-2349.2121	
uce-1693	-1736.8930	-1734.4789	
uce-1694	-3176.9600	-3173.6151	
uce-1695	-1452.3624	-1452.8927	
uce-1698	-2819.9482	-2820.8429	
uce-17	-3677.0350	-3678.8426	
uce-170	-3051.0916	-3047.2673	
uce-1702	-5961.2418	-5961.4037	
uce-1703	-4513.7726	-4517.8789	
uce-1705	-2241.9150	-2238.7018	
uce-1706	-1772.5478	-1767.2366	
uce-1707	-2080.5397	-2077.3471	
uce-1708	-5445.6513	-5444.1403	
uce-1709	-4297.0282	-4290.9949	
uce-171	-2150.7566	-2150.7904	
uce-1713	-3410.2661	-3407.0307	
uce-1718	-2117.6895	-2119.1940	
uce-1719	-3823.4955	-3814.5900	
uce-172	-2847.2802	-2845.2090	
uce-1722	-3127.6504	-3127.7306	
uce-1723	-5300.5540	-5287.8088	
uce-173	-2396.7867	-2393.3549	
uce-1731	-3228.9782	-3225.4515	
uce-1732	-1888.6414	-1893.2397	
uce-1733	-3867.8786	-3861.0733	
uce-1736	-3784.8852	-3786.5816	
uce-1741	-4496.6142	-4496.6029	
uce-1742	-2720.6419	-2719.6822	
uce-1743	-3736.9162	-3737.5696	
uce-1744	-2907.6329	-2938.4184	
uce-1745	-2716.9248	-2718.5824	
uce-1746	-3184.4252	-3183.9282	
uce-1747	-1977.3843	-1974.3542	
uce-1748	-1619.3113	-1617.8106	
uce-1749	-3457.8086	-3457.0608	
uce-175	-2958.0233	-2953.6681	
uce-1750	-3942.6074	-3939.8407	
uce-1751	-2783.9307	-2779.2626	
uce-1752	-4660.0846	-4660.0847	
uce-1753	-2279.6266	-2281.0001	
uce-1754	-2939.7079	-2937.0804	
uce-1756	-2042.5596	-2041.3225	
uce-1757	-4480.5184	-4481.2927	
uce-1758	-2911.3235	-2907.6507	
uce-1759	-1722.5139	-1722.1474	
uce-1762	-2347.1085	-2345.6986	
uce-1763	-1325.8136	-1333.2262	
uce-1765	-3401.0169	-3392.7848	
uce-1766	-3347.8438	-3346.8343	
uce-1767	-3913.5100	-3908.9837	
uce-1768	-1677.9206	-1677.5808	
uce-1769	-2794.5141	-2786.8062	
uce-177	-3048.7641	-3047.8362	
uce-1770	-1369.6180	-1372.4883	
uce-1774	-2299.5150	-2295.7070	
uce-1775	-3000.5932	-3001.3526	
uce-1776	-3451.3549	-3454.1783	
uce-1777	-3287.3045	-3283.1680	
uce-178	-3439.7229	-3437.4369	
uce-1780	-4254.1997	-4248.4406	
uce-1781	-2681.2036	-2679.0412	
uce-1782	-4121.0657	-4121.2105	
uce-1783	-2329.6169	-2323.0073	
uce-1785	-2886.9922	-2882.8666	
uce-1786	-2771.4315	-2759.1706	
uce-1787	-2334.7263	-2334.3527	
uce-1793	-2801.3344	-2799.1102	
uce-1794	-2570.7649	-2564.6317	
uce-1796	-1472.7754	-1475.1895	
uce-1798	-2737.5073	-2738.8532	
uce-18	-1616.2720	-1615.7983	
uce-180	-2891.8359	-2889.5124	
uce-1800	-2287.8187	-2288.2406	
uce-1802	-3961.2470	-3954.7260	
uce-1804	-2959.6230	-2958.1625	
uce-1805	-4217.1701	-4221.1788	
uce-1806	-4187.7616	-4187.7610	
