Locus	Sclero	ToxPoly
AHE-L289	-11199.03	-11216.36	
AHE-L29	-7454.21	-7453.46	
AHE-L292	-1942.01	-1942.00	
AHE-L295	-13421.63	-13412.45	
AHE-L296	-14153.46	-14116.82	
AHE-L297	-11385.30	-11373.13	
AHE-L30	-10677.97	-10664.75	
AHE-L301	-4062.91	-4063.01	
AHE-L305	-6764.08	-6747.06	
AHE-L306	-9532.40	-9523.22	
AHE-L309	-13506.21	-13510.40	
AHE-L314	-12497.70	-12478.84	
AHE-L315	-8231.59	-8228.41	
AHE-L317	-14581.58	-14578.30	
AHE-L322	-9514.04	-9482.97	
AHE-L326	-11055.66	-11052.64	
AHE-L327	-10197.15	-10186.34	
AHE-L333	-15435.78	-15388.64	
AHE-L34	-11773.17	-11746.63	
AHE-L340	-9638.56	-9582.73	
AHE-L343	-3577.04	-3573.85	
AHE-L35	-7489.52	-7475.55	
AHE-L350	-8872.05	-8850.18	
AHE-L351	-13929.15	-13904.83	
AHE-L352	-11669.17	-11660.22	
AHE-L354	-11598.53	-11580.37	
AHE-L357	-9249.54	-9225.99	
AHE-L36	-14243.36	-14185.27	
AHE-L361	-11562.85	-11561.86	
AHE-L362	-12426.49	-12389.88	
AHE-L364	-5782.32	-5773.74	
AHE-L365	-14753.94	-14756.21	
AHE-L366	-13742.48	-13727.32	
AHE-L367	-12887.46	-12888.44	
AHE-L368	-10674.39	-10652.25	
AHE-L371	-12434.92	-12441.05	
AHE-L372	-16281.33	-16240.91	
AHE-L377	-13278.31	-13250.80	
AHE-L379	-12622.14	-12619.21	
AHE-L381	-12735.57	-12689.65	
AHE-L382	-14668.16	-14650.42	
AHE-L386	-13744.84	-13694.69	
AHE-L389	-11260.20	-11279.65	
AHE-L39	-14240.21	-14215.49	
AHE-L390	-15770.58	-15762.29	
AHE-L394	-11024.57	-11010.40	
AHE-L395	-14120.28	-14114.20	
AHE-L397	-9684.71	-9665.48	
AHE-L40	-12981.27	-12948.55	
AHE-L400	-5692.57	-5678.22	
AHE-L401	-4439.01	-4426.81	
AHE-L42	-7294.01	-7299.89	
AHE-L49	-8812.90	-8816.82	
AHE-L52	-15477.63	-15474.08	
AHE-L55	-10922.62	-10941.77	
AHE-L56	-12329.81	-12303.66	
AHE-L57	-6669.18	-6645.18	
AHE-L61	-13168.61	-13156.99	
AHE-L67	-13158.34	-13132.57	
AHE-L75	-14103.52	-14067.26	
AHE-L76	-9726.46	-9718.29	
AHE-L80	-6956.29	-6950.13	
AHE-L84	-11338.43	-11338.97	
AHE-L87	-12309.41	-12292.90	
AHE-L88	-9560.58	-9541.90	
AHE-L93	-12045.54	-12046.55	
AHE-L96	-12801.01	-12900.89	
gene-AKAP9	-7965.94	-7930.39	
gene-BDNF	-5272.66	-5258.39	
gene-BMP2	-6351.52	-6343.95	
gene-ENC1	-9771.94	-9752.15	
gene-FSHR	-10992.72	-10973.30	
gene-GALR1	-7803.15	-7766.54	
gene-NGFB	-7198.42	-7191.83	
gene-PNN	-5403.47	-5392.29	
gene-SLC8A1	-11548.85	-11523.22	
uce-10	-1680.20	-1667.25	
uce-1003	-2447.65	-2447.38	
uce-1004	-2636.57	-2629.00	
uce-1005	-2367.00	-2363.01	
uce-1008	-3936.44	-3951.70	
uce-101	-5132.79	-5124.14	
uce-1010	-3190.76	-3180.42	
uce-1012	-3342.28	-3328.34	
uce-1013	-3004.38	-3008.06	
uce-1014	-4148.74	-4153.87	
uce-1017	-4525.42	-4518.16	
uce-1018	-3297.08	-3296.58	
uce-102	-3436.57	-3431.41	
uce-1021	-4069.94	-4061.74	
uce-1025	-2355.06	-2351.30	
uce-1026	-2333.38	-2337.00	
uce-1027	-2625.94	-2623.12	
uce-1029	-2215.34	-2213.73	
uce-103	-6537.27	-6524.46	
uce-1031	-3110.42	-3095.53	
uce-1034	-4294.59	-4287.06	
uce-1035	-2347.11	-2339.11	
uce-1036	-2151.74	-2144.51	
uce-1037	-2242.09	-2237.18	
uce-1038	-4266.89	-4261.06	
uce-1039	-3097.55	-3078.15	
uce-1040	-3018.80	-3021.05	
uce-1041	-5122.11	-5126.70	
uce-1043	-2871.40	-2872.69	
uce-1044	-2959.84	-2957.23	
uce-1047	-3704.68	-3702.45	
uce-1048	-3404.06	-3391.77	
uce-105	-1034.20	-1031.02	
uce-1050	-4230.94	-4248.66	
uce-1051	-3701.67	-3694.68	
uce-1052	-3075.06	-3064.34	
uce-1053	-3980.30	-3983.78	
uce-1054	-3341.37	-3327.58	
uce-1055	-3285.28	-3276.15	
uce-1056	-2845.50	-2830.41	
uce-1058	-2415.21	-2411.31	
uce-106	-4177.53	-4175.33	
uce-1060	-2796.94	-2796.92	
uce-1061	-3916.02	-3910.80	
uce-1062	-2903.15	-2897.22	
uce-1063	-4687.26	-4688.11	
uce-1064	-2271.82	-2276.30	
uce-1065	-2681.79	-2668.12	
uce-1068	-5130.18	-5119.31	
uce-1069	-3202.36	-3198.72	
uce-1070	-4255.96	-4259.77	
uce-1072	-5358.52	-5352.25	
uce-1077	-4003.68	-4002.56	
uce-1081	-3150.18	-3153.28	
uce-1083	-3325.25	-3326.72	
uce-1084	-2207.75	-2196.48	
uce-1085	-3255.19	-3245.11	
uce-1089	-2297.88	-2294.46	
uce-1090	-4513.97	-4507.03	
uce-1092	-2540.41	-2543.16	
uce-1093	-3333.56	-3335.19	
uce-1094	-4122.77	-4118.09	
uce-1098	-4809.39	-4802.71	
uce-11	-4408.16	-4385.24	
uce-110	-4444.90	-4445.03	
uce-1100	-3612.98	-3610.22	
uce-1101	-4970.33	-4973.69	
uce-1102	-3058.31	-3048.40	
uce-1107	-4590.71	-4585.83	
uce-111	-4004.44	-4006.27	
uce-1110	-4406.73	-4396.42	
uce-1113	-3493.95	-3486.70	
uce-1119	-3028.15	-3027.90	
uce-1120	-2102.85	-2102.18	
uce-1121	-3078.61	-3071.29	
uce-1122	-4074.63	-4085.94	
uce-1123	-4785.82	-4781.25	
uce-1126	-3929.90	-3918.72	
uce-1127	-2439.67	-2432.20	
uce-1128	-1759.60	-1751.42	
uce-1131	-5050.22	-5048.15	
uce-1133	-3428.16	-3419.55	
uce-1134	-2353.27	-2346.15	
uce-1135	-5118.49	-5105.72	
uce-1136	-3111.93	-3096.56	
uce-1138	-5653.44	-5649.67	
uce-1139	-2533.39	-2522.65	
uce-114	-2286.66	-2285.44	
uce-1141	-5069.15	-5058.28	
uce-1143	-3910.09	-3909.84	
uce-1148	-2843.93	-2839.87	
uce-1149	-2671.97	-2662.73	
uce-115	-3889.72	-3890.68	
uce-1150	-4941.01	-4945.65	
uce-1154	-5004.95	-4981.83	
uce-1155	-3591.43	-3589.70	
uce-1157	-1692.79	-1696.15	
uce-1158	-4301.46	-4283.34	
uce-1159	-3503.05	-3495.25	
uce-1161	-3488.38	-3484.94	
uce-1162	-4171.53	-4178.06	
uce-1163	-4684.11	-4680.46	
uce-1167	-2645.91	-2643.24	
uce-1168	-2500.52	-2498.47	
uce-1169	-3640.82	-3632.96	
uce-117	-2079.42	-2080.15	
uce-1170	-2978.72	-2983.50	
uce-1172	-5389.67	-5382.59	
uce-1173	-2804.32	-2790.18	
uce-1174	-4986.20	-4984.72	
uce-1176	-1339.32	-1339.44	
uce-1177	-1229.63	-1226.53	
uce-1178	-4107.62	-4107.42	
uce-1181	-3978.07	-3967.50	
uce-1182	-1794.46	-1797.66	
uce-1183	-2456.85	-2453.17	
uce-1185	-4368.46	-4357.97	
uce-1187	-3549.18	-3549.64	
uce-1188	-3159.78	-3154.35	
uce-119	-1350.22	-1354.38	
uce-1190	-3675.64	-3668.13	
uce-1191	-3665.32	-3668.36	
uce-1192	-3107.44	-3117.66	
uce-1193	-4680.13	-4664.76	
uce-1194	-5601.83	-5596.06	
uce-12	-4481.99	-4471.44	
uce-120	-2436.81	-2433.72	
uce-1200	-3309.51	-3295.12	
uce-1201	-2764.43	-2755.06	
uce-1202	-3306.21	-3300.19	
uce-1203	-4203.82	-4193.43	
uce-1204	-4306.36	-4299.03	
uce-1205	-2688.07	-2686.00	
uce-1206	-1711.98	-1716.21	
uce-1207	-3209.54	-3199.92	
uce-1209	-3165.21	-3164.04	
uce-121	-2827.58	-2826.99	
uce-1210	-3854.04	-3843.84	
uce-1211	-3248.60	-3238.04	
uce-1212	-2114.01	-2114.22	
uce-1215	-3810.39	-3799.47	
uce-1216	-3471.71	-3478.44	
uce-1217	-1220.43	-1214.97	
uce-1219	-1201.95	-1205.88	
uce-1222	-3718.81	-3716.67	
uce-1224	-3817.55	-3803.32	
uce-1225	-2465.59	-2463.62	
uce-1231	-2697.53	-2698.08	
uce-1232	-3926.86	-3921.31	
uce-1233	-2075.64	-2081.02	
uce-1234	-5299.63	-5284.65	
uce-1236	-4600.99	-4593.18	
uce-1239	-3434.47	-3424.03	
uce-124	-2732.51	-2737.86	
uce-1241	-3963.33	-3957.95	
uce-1242	-3515.25	-3493.68	
uce-1243	-3006.51	-3005.44	
uce-1245	-2624.04	-2621.56	
uce-1246	-3950.29	-3947.44	
uce-125	-2665.18	-2657.05	
uce-1250	-5846.50	-5840.67	
uce-1252	-2799.37	-2795.43	
uce-1253	-4390.15	-4387.91	
uce-1255	-3495.94	-3494.40	
uce-1256	-2243.88	-2240.23	
uce-1257	-3170.60	-3151.99	
uce-1259	-3070.49	-3060.07	
uce-1260	-4596.34	-4579.39	
uce-1263	-3000.62	-3000.16	
uce-1264	-3611.64	-3610.77	
uce-1265	-2223.90	-2227.44	
uce-1267	-3885.04	-3881.07	
uce-1268	-3599.25	-3601.98	
uce-127	-4953.83	-4923.65	
uce-1270	-3214.26	-3222.23	
uce-1271	-4153.88	-4142.30	
uce-1272	-5091.59	-5091.58	
uce-1276	-3660.84	-3665.43	
uce-1277	-2398.20	-2390.72	
uce-1278	-5812.73	-5808.04	
uce-128	-2641.00	-2623.60	
uce-1281	-4487.25	-4489.45	
uce-1285	-3614.65	-3603.72	
uce-1286	-2709.05	-2711.90	
uce-1288	-2153.03	-2150.09	
uce-129	-4446.92	-4438.31	
uce-1290	-3355.18	-3344.84	
uce-1291	-3691.45	-3683.38	
uce-1295	-4042.06	-4048.42	
uce-1298	-4251.04	-4247.49	
uce-1299	-3784.74	-3777.06	
uce-1300	-3994.33	-3997.31	
uce-1301	-2778.87	-2775.71	
uce-1304	-2865.35	-2861.17	
uce-1305	-3071.31	-3080.26	
uce-1306	-2288.64	-2274.42	
uce-1307	-4686.53	-4672.23	
uce-1309	-3256.30	-3249.78	
uce-131	-3786.02	-3778.96	
uce-1311	-4356.31	-4343.24	
uce-1313	-3648.82	-3642.54	
uce-1314	-5194.44	-5193.26	
uce-1318	-3008.10	-2995.73	
uce-1319	-3750.90	-3745.21	
uce-132	-3699.82	-3701.13	
uce-1322	-4442.28	-4448.28	
uce-1323	-3834.76	-3824.64	
uce-1326	-2558.63	-2548.35	
uce-1329	-3907.62	-3902.71	
uce-1333	-1942.44	-1939.48	
uce-1334	-3833.62	-3838.15	
uce-1335	-2503.69	-2497.86	
uce-1336	-1368.90	-1361.36	
uce-1339	-1591.39	-1578.05	
uce-134	-2036.64	-2023.20	
uce-1342	-4159.01	-4149.06	
uce-1344	-4550.71	-4539.19	
uce-1345	-3139.41	-3130.28	
uce-1346	-2940.62	-2923.47	
uce-1348	-4264.29	-4275.56	
uce-1349	-4406.13	-4383.92	
uce-1350	-2372.61	-2363.99	
uce-1351	-4181.94	-4171.70	
uce-1354	-3007.30	-3005.62	
uce-1357	-4659.51	-4653.92	
uce-1358	-2304.03	-2303.59	
uce-1359	-3788.92	-3786.69	
uce-136	-5539.76	-5536.70	
uce-1360	-3430.96	-3421.39	
uce-1361	-2696.52	-2692.98	
uce-1362	-4119.48	-4117.24	
uce-1363	-3977.16	-3979.52	
uce-1366	-4210.98	-4207.89	
uce-1367	-3310.22	-3296.18	
uce-1368	-3456.84	-3451.62	
uce-1371	-4049.59	-4041.46	
uce-1374	-3458.38	-3454.76	
uce-1375	-2848.07	-2835.25	
uce-1376	-4763.44	-4765.33	
uce-1378	-4996.65	-4987.90	
uce-1381	-3038.16	-3072.76	
uce-1383	-3869.25	-3875.21	
uce-1384	-3917.55	-3901.47	
uce-1385	-2939.90	-2924.08	
uce-1389	-2714.54	-2704.60	
uce-139	-3086.16	-3076.92	
uce-1390	-5241.55	-5225.65	
uce-1392	-2697.96	-2690.54	
uce-1393	-2802.80	-2806.56	
uce-1394	-3518.87	-3514.51	
uce-1395	-4772.40	-4764.04	
uce-1396	-579.22	-581.13	
uce-1397	-2461.60	-2458.22	
uce-14	-1459.47	-1456.48	
uce-1402	-4095.28	-4091.67	
uce-1403	-5301.78	-5287.04	
uce-1405	-4757.86	-4750.58	
uce-1408	-7038.92	-7032.93	
uce-1410	-2226.35	-2240.97	
uce-1412	-4586.10	-4590.92	
uce-1413	-3888.05	-3875.66	
uce-1415	-3714.00	-3696.71	
uce-1417	-1988.67	-1981.86	
uce-1419	-4255.43	-4251.94	
uce-142	-2123.96	-2116.28	
uce-1420	-882.29	-871.33	
uce-1422	-2980.66	-2969.08	
uce-1423	-3704.89	-3696.52	
uce-1424	-5189.62	-5182.98	
uce-1425	-4591.56	-4596.34	
uce-1427	-3133.69	-3134.82	
uce-143	-1844.22	-1836.54	
uce-1430	-1786.08	-1782.38	
uce-1434	-4087.80	-4094.08	
uce-1435	-3571.90	-3565.82	
uce-1438	-1847.32	-1837.06	
uce-144	-1822.62	-1823.02	
uce-1442	-3608.77	-3598.92	
uce-1446	-4119.38	-4110.84	
uce-1447	-3230.01	-3231.21	
uce-1450	-4825.89	-4822.36	
uce-1451	-4520.94	-4511.39	
uce-1453	-3523.87	-3508.72	
uce-1454	-4641.05	-4637.79	
uce-1456	-6516.37	-6510.71	
uce-1457	-3284.49	-3271.18	
uce-1458	-2404.75	-2396.97	
uce-146	-2925.57	-2922.29	
uce-1462	-5066.13	-5064.73	
uce-1463	-4763.12	-4748.92	
uce-1466	-3454.22	-3444.93	
uce-1467	-3825.79	-3820.65	
uce-1468	-3535.39	-3528.67	
uce-1469	-3133.57	-3135.03	
uce-147	-2580.11	-2582.66	
uce-1470	-3225.26	-3224.15	
uce-1471	-1795.57	-1790.83	
uce-1474	-3031.73	-3034.31	
uce-1476	-2966.23	-2962.84	
uce-1477	-3033.90	-3016.66	
uce-1478	-4289.23	-4280.65	
uce-148	-2796.57	-2776.98	
uce-1480	-2900.78	-2900.62	
uce-1482	-2356.41	-2357.93	
uce-1483	-4706.86	-4701.02	
uce-1484	-3253.33	-3256.98	
uce-1485	-4392.55	-4367.28	
uce-1488	-3581.24	-3587.52	
uce-1489	-3387.71	-3384.37	
uce-149	-2341.68	-2329.72	
uce-1490	-4578.31	-4548.87	
uce-1492	-3049.15	-3051.25	
uce-1497	-3646.02	-3641.38	
uce-1498	-2906.44	-2873.48	
uce-1499	-2470.22	-2465.05	
uce-15	-2084.01	-2085.37	
uce-1500	-4666.13	-4665.09	
uce-1501	-2864.26	-2864.37	
uce-1504	-2666.29	-2665.97	
uce-1506	-4874.36	-4873.68	
uce-1507	-942.13	-943.10	
uce-1508	-2961.10	-2960.09	
uce-1509	-4047.89	-4039.71	
uce-1511	-3823.61	-3823.73	
uce-1512	-2726.14	-2729.61	
uce-1514	-5092.97	-5094.14	
uce-1520	-3466.67	-3463.75	
uce-1523	-3726.84	-3710.56	
uce-1526	-3012.60	-3023.56	
uce-1528	-2562.05	-2551.04	
uce-1529	-2018.00	-2006.74	
uce-153	-5069.98	-5053.35	
uce-1530	-1964.65	-1959.73	
uce-1531	-3540.18	-3540.31	
uce-1533	-3656.86	-3639.18	
uce-1535	-3096.00	-3102.47	
uce-1538	-1580.86	-1571.09	
uce-1539	-2709.80	-2709.18	
uce-154	-2077.48	-2076.77	
uce-1540	-3391.14	-3394.82	
uce-1544	-2905.36	-2892.26	
uce-1545	-4225.54	-4216.25	
uce-1547	-2254.70	-2251.64	
uce-1550	-2958.71	-2958.40	
uce-1552	-4344.19	-4331.59	
uce-1555	-1953.27	-1954.04	
uce-1556	-2567.35	-2567.75	
uce-1558	-3525.43	-3525.28	
uce-1560	-3977.54	-3971.65	
uce-1561	-5768.62	-5771.14	
uce-1562	-2938.53	-2944.30	
uce-1563	-4269.44	-4267.78	
uce-1564	-5083.81	-5082.29	
uce-1565	-4372.42	-4370.07	
uce-1566	-2288.29	-2273.85	
uce-1568	-3327.22	-3322.78	
uce-1569	-4240.14	-4238.77	
uce-157	-4977.75	-4962.52	
uce-1570	-1337.75	-1340.92	
uce-1572	-3111.62	-3097.25	
uce-1573	-2241.37	-2232.38	
uce-1576	-2041.53	-2036.29	
uce-1579	-2775.83	-2777.06	
uce-1580	-2221.92	-2214.03	
uce-1581	-3436.07	-3429.75	
uce-1582	-1903.46	-1901.98	
uce-1586	-3597.87	-3579.21	
uce-1588	-1975.61	-1976.06	
uce-1590	-4109.64	-4103.57	
uce-1591	-2704.31	-2697.80	
uce-1594	-3775.77	-3769.87	
uce-1597	-3876.67	-3874.70	
uce-1598	-4833.22	-4807.64	
uce-16	-3895.16	-3890.55	
uce-1600	-3696.59	-3690.56	
uce-1601	-838.69	-839.11	
uce-1602	-2055.54	-2046.71	
uce-1606	-3492.05	-3487.88	
uce-161	-1464.66	-1464.81	
uce-1610	-1238.59	-1241.74	
uce-1611	-3418.46	-3417.35	
uce-1613	-3519.63	-3521.91	
uce-1614	-3543.43	-3522.16	
uce-1616	-2763.77	-2763.31	
uce-1618	-3567.05	-3561.37	
uce-162	-1697.02	-1695.16	
uce-1621	-2338.42	-2336.67	
uce-1622	-2563.75	-2562.01	
uce-1624	-5107.68	-5089.12	
uce-1625	-2176.09	-2179.69	
uce-1629	-3001.61	-2995.80	
uce-1630	-3299.44	-3292.45	
uce-1631	-4324.23	-4319.74	
uce-1633	-2485.90	-2488.06	
uce-1634	-4448.72	-4441.63	
uce-1636	-1476.09	-1462.98	
uce-1639	-3244.97	-3248.72	
uce-1641	-3012.62	-3013.93	
uce-1642	-3205.27	-3199.80	
uce-1643	-2136.29	-2131.26	
uce-1644	-2759.63	-2752.89	
uce-1645	-2913.14	-2902.64	
uce-1648	-3140.04	-3118.97	
uce-1649	-1865.26	-1861.06	
uce-1650	-4466.27	-4467.41	
uce-1652	-3596.87	-3582.79	
uce-1653	-916.48	-913.62	
uce-1655	-5034.41	-5019.44	
uce-1658	-3949.63	-3955.74	
uce-1659	-2317.19	-2319.75	
uce-166	-4385.41	-4383.58	
uce-1660	-3775.55	-3779.58	
uce-1662	-2877.44	-2871.62	
uce-1667	-2116.95	-2116.32	
uce-1671	-3965.20	-3974.47	
uce-1675	-3902.34	-3871.88	
uce-1677	-4931.48	-4935.35	
uce-1678	-2825.94	-2800.15	
uce-1679	-3514.27	-3516.23	
uce-1680	-2376.30	-2370.64	
uce-1683	-3700.15	-3694.81	
uce-1685	-891.03	-880.50	
uce-1689	-2733.65	-2731.01	
uce-169	-4640.62	-4629.26	
uce-1690	-2656.51	-2654.12	
uce-1692	-2629.59	-2627.25	
uce-1693	-1949.02	-1946.95	
uce-1694	-3595.74	-3586.89	
uce-1695	-1661.41	-1663.37	
uce-1698	-3212.22	-3212.28	
uce-17	-4108.21	-4108.73	
uce-170	-3435.47	-3430.84	
uce-1702	-6545.64	-6546.00	
uce-1703	-5049.65	-5053.05	
uce-1705	-2572.76	-2565.46	
uce-1706	-2017.13	-2007.62	
uce-1707	-2401.14	-2392.38	
uce-1708	-5910.25	-5905.22	
uce-1709	-4838.94	-4827.62	
uce-171	-2545.00	-2546.69	
uce-1713	-3796.18	-3786.62	
uce-1718	-2451.43	-2455.64	
uce-1719	-4209.81	-4197.70	
uce-172	-3300.26	-3295.72	
uce-1722	-3584.99	-3581.74	
uce-1723	-5901.84	-5884.81	
uce-173	-2663.53	-2658.76	
uce-1731	-3575.65	-3568.11	
uce-1732	-2166.93	-2175.40	
uce-1733	-4248.99	-4236.25	
uce-1736	-4293.61	-4296.88	
uce-1741	-5089.24	-5089.64	
uce-1742	-3040.33	-3038.01	
uce-1743	-4229.56	-4233.89	
uce-1744	-3171.45	-3199.27	
uce-1745	-3172.38	-3176.92	
uce-1746	-3585.39	-3587.10	
uce-1747	-2236.75	-2234.20	
uce-1748	-1875.61	-1871.80	
uce-1749	-3927.07	-3924.20	
uce-175	-3460.52	-3448.63	
uce-1750	-4477.52	-4464.02	
uce-1751	-3142.91	-3128.97	
uce-1752	-5174.34	-5172.89	
uce-1753	-2591.02	-2589.25	
uce-1754	-3407.32	-3393.76	
uce-1756	-2384.75	-2387.22	
uce-1757	-5065.25	-5069.30	
uce-1758	-3317.28	-3302.39	
uce-1759	-2045.74	-2046.33	
uce-1762	-2634.39	-2631.26	
uce-1763	-1616.77	-1629.68	
uce-1765	-3804.82	-3795.88	
uce-1766	-3902.96	-3896.45	
uce-1767	-4300.12	-4289.55	
uce-1768	-1867.61	-1864.75	
uce-1769	-3124.32	-3108.52	
uce-177	-3393.78	-3390.32	
uce-1770	-1512.00	-1516.57	
uce-1774	-2600.29	-2593.17	
uce-1775	-3409.67	-3409.78	
uce-1776	-3868.70	-3873.68	
uce-1777	-3538.08	-3525.96	
uce-178	-3722.10	-3718.62	
uce-1780	-4697.50	-4687.59	
uce-1781	-3025.44	-3027.48	
uce-1782	-4589.09	-4583.66	
uce-1783	-2600.27	-2590.52	
uce-1785	-3258.82	-3246.14	
uce-1786	-3100.71	-3082.62	
uce-1787	-2599.14	-2600.40	
uce-1793	-3112.67	-3108.61	
uce-1794	-2916.73	-2908.48	
uce-1796	-1646.74	-1650.25	
uce-1798	-3056.81	-3064.44	
uce-18	-1808.05	-1807.90	
uce-180	-3298.61	-3294.44	
uce-1800	-2543.34	-2541.60	
uce-1802	-4352.65	-4334.89	
uce-1804	-3445.14	-3446.20	
uce-1805	-4800.09	-4796.39	
uce-1806	-4648.39	-4651.39	
uce-1808	-2523.32	-2516.28	
uce-1809	-1871.72	-1869.29	
uce-181	-3136.63	-3143.21	
uce-1810	-5264.09	-5244.38	
uce-1811	-2615.41	-2611.74	
uce-1813	-4111.68	-4110.15	
uce-1814	-2814.07	-2811.85	
uce-1816	-3032.23	-3034.94	
uce-1817	-1657.91	-1655.37	
uce-1819	-4488.53	-4485.88	
uce-182	-3022.10	-3020.18	
uce-1820	-4099.40	-4094.08	
uce-1822	-4634.98	-4630.32	
uce-1823	-6169.52	-6149.18	
uce-1824	-3143.88	-3143.31	
uce-1825	-4361.56	-4365.40	
uce-1828	-2178.00	-2181.23	
uce-183	-1918.93	-1931.47	
uce-1830	-3621.71	-3630.05	
uce-1832	-3313.33	-3295.18	
uce-1834	-3055.89	-3050.59	
uce-1835	-3091.31	-3094.60	
uce-1836	-3926.41	-3913.03	
uce-1841	-4141.23	-4128.14	
uce-1842	-5060.14	-5050.92	
uce-1843	-2916.17	-2911.32	
uce-1845	-1854.13	-1852.92	
uce-1846	-2633.64	-2626.06	
uce-1849	-3567.90	-3571.11	
uce-185	-6923.21	-6918.98	
uce-1850	-4323.17	-4317.07	
uce-1858	-3267.32	-3271.92	
uce-1859	-2407.01	-2394.79	
uce-186	-1609.39	-1608.27	
uce-1860	-4309.47	-4319.56	
uce-1863	-3495.52	-3480.92	
uce-1864	-7826.91	-7792.49	
uce-1865	-4729.84	-4716.20	
uce-1867	-2690.74	-2681.38	
uce-1868	-4257.21	-4241.47	
uce-1869	-3353.18	-3352.70	
uce-1873	-2376.43	-2371.05	
uce-1875	-3054.56	-3057.62	
uce-1877	-2825.02	-2824.18	
uce-1878	-3288.87	-3289.65	
uce-1879	-3729.66	-3715.91	
uce-188	-2957.05	-2947.62	
uce-1880	-2523.32	-2518.68	
uce-1884	-3938.19	-3927.37	
uce-1886	-3689.16	-3676.42	
uce-1888	-3786.15	-3787.46	
uce-1889	-3013.30	-3003.04	
uce-1890	-4116.58	-4107.14	
uce-1891	-3051.24	-3048.65	
uce-1892	-5713.74	-5715.61	
uce-1893	-2976.31	-2967.50	
uce-1895	-3425.02	-3423.74	
uce-1896	-2658.80	-2649.21	
uce-1897	-3155.41	-3156.81	
uce-1898	-3946.48	-3939.77	
uce-1899	-4103.59	-4106.90	
uce-19	-4530.24	-4545.07	
uce-190	-3888.17	-3893.68	
uce-1900	-2928.29	-2916.75	
uce-1903	-1344.11	-1333.78	
uce-1904	-6553.53	-6557.75	
uce-1906	-5923.20	-5916.47	
uce-1907	-5461.74	-5435.06	
