Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
AHE-L257	-11026.77	-11016.65	-11028.05	-11028.66	-11014.81	
AHE-L259	-14615.76	-14565.51	-14566.65	-14562.99	-14567.10	
AHE-L260	-15676.61	-15681.84	-15694.59	-15693.46	-15682.30	
AHE-L261	-16104.29	-16100.02	-16109.25	-16106.46	-16100.06	
AHE-L262	-2180.19	-2177.87	-2181.61	-2181.92	-2176.94	
AHE-L264	-10411.58	-10398.03	-10400.32	-10401.41	-10395.54	
AHE-L265	-12741.32	-12740.26	-12747.39	-12741.76	-12740.22	
AHE-L267	-15186.96	-15184.73	-15187.69	-15188.95	-15186.67	
AHE-L269	-18505.34	-18466.77	-18468.17	-18470.75	-18465.57	
AHE-L27	-9552.60	-9558.80	-9570.36	-9573.47	-9559.11	
AHE-L271	-10473.89	-10507.67	-10506.11	-10515.56	-10506.31	
AHE-L273	-17797.19	-17805.06	-17811.02	-17804.27	-17811.72	
AHE-L276	-14252.36	-14245.11	-14249.35	-14246.53	-14243.94	
AHE-L28	-16870.50	-16865.43	-16876.99	-16870.86	-16866.92	
AHE-L282	-7482.07	-7465.14	-7471.81	-7477.94	-7463.96	
AHE-L283	-13249.59	-13245.98	-13252.48	-13251.86	-13242.40	
AHE-L284	-16369.11	-16386.84	-16390.15	-16396.51	-16384.92	
AHE-L285	-13483.76	-13474.93	-13483.59	-13481.10	-13475.66	
AHE-L286	-5554.41	-5550.27	-5550.46	-5550.20	-5553.46	
AHE-L288	-16170.35	-16168.16	-16174.83	-16173.76	-16167.51	
AHE-L289	-14344.49	-14354.94	-14359.64	-14359.14	-14354.67	
AHE-L290	-11121.04	-11134.69	-11146.40	-11148.28	-11133.81	
AHE-L291	-11657.71	-11679.33	-11680.76	-11681.27	-11678.06	
AHE-L295	-15772.40	-15753.01	-15759.91	-15754.74	-15758.77	
AHE-L296	-14758.35	-14764.89	-14769.83	-14770.05	-14763.53	
AHE-L297	-11226.65	-11236.43	-11240.73	-11237.76	-11237.24	
AHE-L30	-15417.92	-15405.85	-15418.10	-15418.55	-15404.81	
AHE-L305	-7706.39	-7707.09	-7707.29	-7706.71	-7707.38	
AHE-L306	-14005.89	-14019.33	-14018.79	-14022.30	-14018.95	
AHE-L307	-12296.11	-12262.42	-12260.12	-12279.73	-12279.49	
AHE-L309	-17382.91	-17395.39	-17398.39	-17400.09	-17393.65	
AHE-L31	-14710.81	-14710.62	-14717.75	-14714.08	-14708.77	
AHE-L311	-13440.65	-13441.22	-13455.89	-13452.27	-13440.36	
AHE-L314	-13979.02	-13955.24	-13953.17	-13965.34	-13967.41	
AHE-L315	-10514.47	-10515.43	-10518.11	-10518.55	-10515.66	
AHE-L317	-10687.31	-10691.90	-10694.16	-10696.96	-10689.74	
AHE-L318	-13512.30	-13521.52	-13521.10	-13523.52	-13521.40	
AHE-L32	-14070.32	-14088.65	-14089.10	-14087.73	-14087.56	
AHE-L321	-14229.42	-14245.96	-14254.05	-14254.70	-14243.78	
AHE-L322	-8935.36	-8907.96	-8909.62	-8911.09	-8907.81	
AHE-L326	-12250.86	-12266.85	-12304.08	-12302.95	-12264.27	
AHE-L327	-11557.39	-11561.09	-11565.15	-11569.15	-11562.49	
AHE-L33	-7425.49	-7426.00	-7466.72	-7467.75	-7426.13	
AHE-L333	-15287.51	-15302.21	-15305.70	-15302.05	-15304.93	
AHE-L34	-16470.67	-16481.94	-16484.99	-16489.19	-16478.67	
AHE-L340	-12799.93	-12796.41	-12812.25	-12811.01	-12794.32	
AHE-L341	-13842.40	-13841.18	-13844.13	-13845.48	-13838.93	
AHE-L342	-6002.85	-6015.43	-6037.30	-6037.39	-6014.52	
AHE-L343	-3906.79	-3905.20	-3905.99	-3905.84	-3904.32	
AHE-L347	-13929.25	-13925.89	-13947.16	-13946.63	-13925.22	
AHE-L350	-11201.00	-11225.73	-11245.52	-11244.72	-11222.97	
AHE-L351	-16400.50	-16393.50	-16397.40	-16395.51	-16396.45	
AHE-L352	-14225.90	-14221.26	-14230.31	-14231.04	-14221.50	
AHE-L354	-12449.90	-12486.71	-12544.80	-12545.46	-12486.27	
AHE-L356	-11332.10	-11330.95	-11342.65	-11341.75	-11330.43	
AHE-L357	-13613.02	-13608.18	-13609.66	-13608.36	-13608.77	
AHE-L36	-16470.86	-16406.87	-16410.14	-16411.97	-16406.49	
AHE-L361	-12963.31	-12962.93	-12964.81	-12961.42	-12964.97	
AHE-L362	-16567.17	-16562.97	-16572.02	-16566.67	-16562.66	
AHE-L364	-7341.02	-7336.90	-7335.96	-7338.18	-7337.51	
AHE-L365	-16693.14	-16686.40	-16686.81	-16686.58	-16684.52	
AHE-L366	-16587.20	-16578.85	-16576.36	-16581.28	-16579.49	
AHE-L368	-15330.48	-15327.50	-15327.21	-15328.09	-15328.47	
AHE-L369	-11307.59	-11334.84	-11348.71	-11348.15	-11334.20	
AHE-L371	-12639.86	-12649.05	-12647.04	-12655.62	-12654.25	
AHE-L372	-18790.59	-18777.36	-18778.54	-18778.65	-18776.83	
AHE-L377	-16732.92	-16741.64	-16745.76	-16749.03	-16738.12	
AHE-L378	-13554.83	-13525.54	-13538.04	-13525.49	-13535.32	
AHE-L379	-15133.92	-15098.68	-15096.87	-15099.05	-15102.48	
AHE-L380	-12228.39	-12246.60	-12257.36	-12257.03	-12245.95	
AHE-L381	-17969.73	-17982.52	-17989.67	-17989.44	-17981.98	
AHE-L382	-17926.95	-17915.06	-17929.58	-17924.71	-17914.10	
AHE-L386	-17156.88	-17159.37	-17166.55	-17165.56	-17157.41	
AHE-L388	-14160.30	-14181.74	-14190.60	-14190.77	-14181.58	
AHE-L39	-15360.64	-15370.37	-15376.14	-15373.63	-15370.94	
AHE-L390	-19336.75	-19353.43	-19355.53	-19355.13	-19351.98	
AHE-L391	-18210.92	-18212.87	-18235.30	-18232.86	-18212.92	
AHE-L393	-17805.06	-17797.04	-17822.23	-17820.88	-17794.80	
AHE-L394	-14742.67	-14760.38	-14761.41	-14760.78	-14759.69	
AHE-L395	-18854.03	-18829.39	-18843.05	-18839.83	-18828.96	
AHE-L397	-11334.77	-11331.22	-11331.07	-11332.30	-11331.45	
AHE-L399	-14085.78	-14081.45	-14093.04	-14091.03	-14078.91	
AHE-L4	-2103.31	-2115.83	-2131.28	-2131.63	-2114.42	
AHE-L40	-13197.29	-13199.50	-13200.45	-13200.18	-13198.34	
AHE-L400	-6300.08	-6285.47	-6286.02	-6285.73	-6286.07	
AHE-L401	-5578.61	-5587.81	-5603.35	-5603.65	-5586.29	
AHE-L41	-15832.62	-15871.26	-15888.63	-15890.10	-15869.37	
AHE-L42	-11474.17	-11470.69	-11474.68	-11475.80	-11473.88	
AHE-L49	-13302.15	-13302.83	-13307.30	-13303.65	-13305.75	
AHE-L51	-10875.73	-10885.69	-10910.85	-10911.98	-10883.40	
AHE-L52	-11319.07	-11327.03	-11328.63	-11328.81	-11326.99	
AHE-L53	-4982.84	-4982.39	-4983.56	-4985.88	-4981.75	
AHE-L55	-12496.84	-12535.97	-12542.28	-12548.20	-12534.74	
AHE-L56	-17835.65	-17842.57	-17843.18	-17844.30	-17842.78	
AHE-L57	-7898.66	-7902.66	-7906.72	-7903.27	-7901.59	
AHE-L58	-17106.87	-17143.70	-17150.52	-17151.44	-17143.57	
AHE-L59	-9195.61	-9208.01	-9210.13	-9205.49	-9206.71	
AHE-L61	-17043.38	-16997.45	-16996.14	-16998.95	-17003.91	
AHE-L63	-14352.57	-14327.93	-14346.85	-14345.70	-14327.26	
AHE-L64	-15574.34	-15585.63	-15621.39	-15622.68	-15584.63	
AHE-L65	-14063.17	-14064.64	-14077.59	-14078.80	-14064.13	
AHE-L75	-17478.43	-17461.65	-17491.23	-17489.98	-17462.79	
AHE-L76	-15195.95	-15195.81	-15198.97	-15196.75	-15193.70	
AHE-L8	-14603.23	-14613.89	-14683.11	-14681.24	-14612.57	
AHE-L80	-8944.99	-8946.54	-8948.85	-8946.02	-8944.34	
AHE-L82	-9784.26	-9803.79	-9806.96	-9810.98	-9802.08	
AHE-L84	-14029.65	-14032.23	-14033.28	-14031.77	-14034.32	
AHE-L85	-11262.56	-11275.72	-11278.30	-11278.03	-11274.46	
AHE-L86	-7025.29	-7035.89	-7041.23	-7041.41	-7034.46	
AHE-L87	-14040.46	-14054.81	-14065.86	-14064.63	-14053.40	
AHE-L88	-10504.94	-10480.63	-10479.47	-10483.74	-10481.18	
AHE-L89	-15012.98	-15003.53	-15010.81	-15009.06	-15001.94	
AHE-L93	-14433.35	-14438.76	-14448.21	-14447.06	-14436.42	
AHE-L95	-15941.20	-15974.22	-16147.12	-16149.27	-15975.10	
AHE-L96	-16934.57	-16941.19	-16943.41	-16946.88	-16938.21	
AHE-L98	-10333.94	-10350.36	-10375.84	-10375.24	-10349.30	
gene-BDNF	-7920.07	-7918.36	-7919.75	-7918.30	-7918.91	
gene-BMP2	-10026.47	-10067.62	-10067.77	-10066.96	-10066.62	
gene-cmos	-7492.64	-7499.48	-7513.39	-7513.05	-7499.64	
gene-ECEL	-3244.94	-3240.50	-3245.08	-3246.10	-3239.86	
gene-ENC1	-13926.89	-13938.45	-13939.15	-13941.85	-13938.30	
gene-FSHR	-12439.89	-12419.25	-12423.27	-12416.44	-12418.99	
gene-FSTL5	-8757.51	-8774.01	-8775.41	-8777.07	-8773.37	
gene-GALR1	-11051.04	-11017.69	-11027.73	-11015.62	-11022.81	
gene-INHIBA	-11595.28	-11594.94	-11603.23	-11601.25	-11595.04	
gene-LRRN1	-5214.53	-5210.23	-5214.17	-5215.99	-5208.97	
gene-LZTSS1	-8156.82	-8141.91	-8140.86	-8149.94	-8145.25	
gene-NGFB	-8657.64	-8650.07	-8652.86	-8654.34	-8649.16	
gene-PNN	-8102.20	-8083.30	-8089.97	-8090.11	-8082.58	
gene-SLC30A1	-8191.14	-8193.21	-8196.86	-8197.11	-8190.69	
gene-SLC8A1	-16097.77	-16094.31	-16101.81	-16099.09	-16094.90	
gene-ZFP36L1	-4949.06	-4969.53	-4970.78	-4972.25	-4969.02	
missingCladeDir	NA	NA	NA	NA	NA	
uce-10	-2683.34	-2682.83	-2683.04	-2682.91	-2682.98	
uce-1003	-3594.20	-3590.58	-3593.19	-3593.33	-3590.41	
uce-1004	-4882.06	-4883.47	-4883.86	-4884.24	-4884.18	
uce-1005	-3658.30	-3659.45	-3660.55	-3659.97	-3659.63	
uce-1008	-6470.27	-6479.89	-6478.55	-6483.67	-6479.54	
uce-101	-8269.86	-8279.87	-8279.62	-8278.10	-8280.82	
uce-1010	-5140.66	-5135.93	-5136.01	-5136.57	-5136.57	
uce-1012	-4712.28	-4714.20	-4715.02	-4713.06	-4713.88	
uce-1013	-4775.30	-4773.34	-4777.38	-4772.46	-4775.33	
uce-1014	-5311.82	-5330.42	-5328.89	-5334.25	-5332.37	
uce-1017	-4812.04	-4812.66	-4814.12	-4813.43	-4813.36	
uce-1018	-3674.16	-3673.64	-3672.49	-3673.55	-3671.77	
uce-102	-5038.21	-5039.10	-5042.10	-5037.89	-5040.41	
uce-1021	-5346.78	-5348.26	-5353.55	-5353.13	-5347.37	
uce-1025	-3156.71	-3157.56	-3158.34	-3157.86	-3158.74	
uce-1026	-3973.33	-3968.15	-3970.44	-3969.38	-3967.54	
uce-1027	-4255.03	-4260.45	-4262.10	-4261.82	-4260.19	
uce-1029	-3476.66	-3473.49	-3473.81	-3473.67	-3472.90	
uce-103	-6682.81	-6686.93	-6686.98	-6689.72	-6690.26	
uce-1031	-3773.68	-3773.22	-3774.61	-3775.31	-3772.73	
uce-1034	-6385.13	-6380.49	-6382.35	-6379.48	-6382.72	
uce-1035	-2952.11	-2952.51	-2953.76	-2953.75	-2952.19	
uce-1036	-2831.54	-2831.76	-2832.91	-2832.87	-2831.19	
uce-1037	-4797.27	-4809.65	-4812.32	-4813.43	-4810.44	
uce-1038	-5203.65	-5198.99	-5199.12	-5198.53	-5199.55	
uce-1039	-6152.79	-6144.60	-6145.70	-6144.71	-6145.57	
uce-1040	-3060.02	-3066.22	-3066.72	-3067.34	-3066.26	
uce-1041	-6681.71	-6681.26	-6683.04	-6683.02	-6680.20	
uce-1043	-3805.12	-3800.60	-3803.76	-3802.82	-3801.66	
uce-1044	-4368.03	-4367.21	-4372.18	-4374.58	-4366.39	
uce-1047	-7070.41	-7066.72	-7069.79	-7069.77	-7066.36	
uce-1048	-6988.62	-6984.31	-6989.64	-6989.52	-6983.32	
uce-105	-1217.95	-1218.84	-1219.53	-1218.29	-1218.15	
uce-1050	-5275.05	-5276.89	-5275.71	-5276.28	-5274.94	
uce-1051	-5509.90	-5517.89	-5518.69	-5517.60	-5519.75	
uce-1052	-5057.50	-5057.15	-5055.93	-5056.14	-5057.12	
uce-1053	-6410.72	-6414.93	-6413.44	-6415.44	-6414.58	
uce-1054	-3963.52	-3963.00	-3964.21	-3964.33	-3962.15	
uce-1055	-6140.20	-6138.09	-6138.53	-6138.05	-6137.40	
uce-1056	-4963.41	-4959.41	-4958.67	-4960.36	-4960.49	
uce-1058	-4495.51	-4491.07	-4493.58	-4493.55	-4489.65	
uce-1059	-5026.76	-5025.24	-5027.58	-5024.85	-5028.26	
uce-106	-5001.03	-5000.22	-5000.86	-4998.69	-5000.90	
uce-1060	-4126.40	-4120.44	-4122.31	-4122.62	-4119.32	
uce-1061	-6356.84	-6350.68	-6356.05	-6356.82	-6350.91	
uce-1062	-3717.36	-3733.84	-3732.54	-3737.64	-3737.12	
uce-1063	-7109.83	-7113.26	-7114.14	-7114.07	-7115.70	
uce-1064	-3433.65	-3431.89	-3432.30	-3431.15	-3432.13	
uce-1065	-3563.88	-3562.66	-3564.75	-3564.59	-3561.52	
uce-1068	-5863.96	-5857.88	-5860.91	-5861.74	-5856.04	
uce-1069	-3392.42	-3391.37	-3394.24	-3391.26	-3393.71	
uce-1070	-5466.87	-5471.53	-5471.84	-5471.83	-5471.61	
uce-1072	-7319.95	-7316.31	-7319.39	-7318.94	-7315.64	
uce-1077	-7212.79	-7209.42	-7209.76	-7210.77	-7208.65	
uce-1081	-5477.58	-5475.32	-5474.68	-5474.83	-5474.50	
uce-1083	-5994.60	-5987.44	-5986.16	-5991.29	-5990.02	
uce-1084	-3764.98	-3761.29	-3760.99	-3762.60	-3761.73	
uce-1085	-4899.38	-4893.02	-4901.39	-4899.97	-4891.60	
uce-1088	-2912.58	-2914.50	-2917.81	-2916.92	-2913.54	
uce-1089	-4052.96	-4053.83	-4053.68	-4054.79	-4055.09	
uce-1090	-5439.46	-5443.83	-5443.77	-5446.40	-5446.98	
uce-1092	-3813.45	-3811.56	-3813.78	-3814.13	-3812.05	
uce-1093	-5023.35	-5023.01	-5022.94	-5025.38	-5022.05	
uce-1094	-5409.25	-5407.48	-5407.29	-5412.85	-5411.72	
uce-1098	-6785.57	-6784.66	-6785.53	-6787.92	-6787.74	
uce-11	-5523.08	-5524.23	-5523.29	-5528.97	-5526.04	
uce-110	-4684.32	-4691.18	-4689.84	-4693.22	-4692.31	
uce-1100	-6955.39	-6952.16	-6955.68	-6951.80	-6951.06	
uce-1101	-6749.67	-6745.00	-6744.03	-6744.85	-6744.35	
uce-1102	-6553.71	-6552.90	-6552.59	-6554.06	-6553.29	
uce-1107	-6245.54	-6244.97	-6246.83	-6246.55	-6243.65	
uce-111	-6284.50	-6287.46	-6287.33	-6288.85	-6285.08	
uce-1110	-6049.10	-6049.14	-6051.74	-6054.84	-6047.33	
uce-1113	-4808.56	-4801.77	-4802.34	-4801.67	-4801.70	
uce-1119	-4486.06	-4494.58	-4492.68	-4494.54	-4494.96	
uce-1120	-4428.33	-4429.04	-4434.41	-4435.34	-4428.71	
uce-1121	-3654.91	-3663.87	-3664.26	-3664.08	-3664.52	
uce-1122	-5010.70	-5009.55	-5007.56	-5009.92	-5010.64	
uce-1123	-7189.34	-7185.50	-7191.77	-7190.23	-7185.02	
uce-1126	-5299.68	-5301.70	-5305.90	-5301.62	-5304.32	
uce-1127	-3614.99	-3614.30	-3618.69	-3613.26	-3614.07	
uce-1128	-2555.54	-2556.18	-2555.77	-2559.33	-2559.57	
uce-1131	-6554.82	-6552.51	-6551.91	-6552.35	-6552.26	
uce-1133	-6092.18	-6083.70	-6085.38	-6086.82	-6081.27	
uce-1134	-3062.15	-3063.85	-3064.18	-3063.02	-3063.94	
uce-1135	-6062.82	-6054.62	-6056.37	-6056.14	-6053.90	
uce-1136	-3890.49	-3891.15	-3890.26	-3890.12	-3890.48	
uce-1138	-6653.28	-6650.03	-6649.84	-6651.37	-6649.94	
uce-1139	-4519.42	-4519.62	-4519.54	-4520.07	-4520.16	
uce-114	-3170.36	-3173.92	-3174.03	-3174.55	-3174.08	
uce-1141	-7337.98	-7339.47	-7339.60	-7340.62	-7338.32	
uce-1143	-5530.02	-5531.74	-5536.26	-5535.48	-5529.43	
uce-1148	-6002.68	-5996.65	-6000.29	-6000.13	-5993.60	
uce-1149	-4004.83	-4003.45	-4002.95	-4005.80	-4003.64	
uce-115	-6279.99	-6290.18	-6290.07	-6290.39	-6290.52	
uce-1150	-9288.82	-9287.92	-9287.55	-9288.30	-9288.09	
uce-1154	-6343.62	-6353.41	-6353.80	-6351.82	-6351.65	
uce-1155	-4541.54	-4548.51	-4549.58	-4547.36	-4549.77	
uce-1157	-3434.08	-3440.10	-3442.58	-3443.08	-3438.64	
uce-1158	-5366.64	-5362.82	-5364.13	-5364.01	-5362.80	
uce-1159	-5114.12	-5109.15	-5111.67	-5109.71	-5107.99	
uce-1161	-5424.21	-5423.31	-5425.52	-5423.14	-5423.93	
uce-1162	-5193.34	-5197.33	-5196.32	-5196.95	-5197.96	
uce-1163	-6142.89	-6142.61	-6141.22	-6147.74	-6146.86	
uce-1167	-3708.93	-3708.99	-3709.15	-3708.36	-3709.27	
uce-1168	-3929.44	-3926.62	-3926.30	-3927.43	-3924.75	
uce-1169	-4596.48	-4594.36	-4595.76	-4594.88	-4594.16	
uce-117	-4635.34	-4633.97	-4637.14	-4636.56	-4633.39	
uce-1170	-5827.27	-5830.21	-5831.58	-5830.78	-5830.51	
uce-1172	-7248.94	-7247.16	-7250.08	-7252.69	-7244.19	
uce-1173	-4828.26	-4824.08	-4829.67	-4827.57	-4822.20	
uce-1174	-5441.00	-5446.09	-5446.09	-5446.47	-5446.06	
uce-1176	-3169.04	-3162.08	-3162.48	-3164.25	-3163.31	
uce-1177	-1987.13	-1987.08	-1989.67	-1990.20	-1985.92	
uce-1178	-7054.98	-7048.49	-7052.02	-7047.98	-7052.18	
uce-1181	-6467.51	-6463.88	-6468.08	-6468.07	-6463.89	
uce-1182	-2818.29	-2807.14	-2806.94	-2807.96	-2806.39	
uce-1183	-3172.22	-3170.87	-3172.08	-3171.83	-3168.75	
uce-1185	-7094.02	-7093.05	-7097.04	-7090.51	-7094.99	
uce-1187	-6082.32	-6077.55	-6089.85	-6087.61	-6076.20	
uce-1188	-5003.74	-4998.56	-5002.90	-5003.24	-4997.63	
uce-119	-2464.17	-2466.68	-2465.53	-2466.22	-2466.97	
uce-1190	-5508.61	-5509.53	-5512.82	-5510.37	-5510.82	
uce-1191	-5197.55	-5195.99	-5199.48	-5194.57	-5200.61	
uce-1192	-4951.37	-4949.64	-4949.82	-4952.35	-4948.73	
uce-1193	-4579.43	-4572.11	-4571.77	-4575.85	-4572.03	
uce-1194	-6626.84	-6626.73	-6629.01	-6628.73	-6625.72	
uce-12	-6608.07	-6603.40	-6601.89	-6607.72	-6605.24	
uce-120	-4024.69	-4023.60	-4026.24	-4022.89	-4023.29	
uce-1200	-4912.41	-4911.72	-4912.24	-4917.06	-4910.98	
uce-1201	-4018.64	-4013.68	-4021.82	-4013.62	-4018.69	
uce-1202	-6281.37	-6278.13	-6278.91	-6278.53	-6280.67	
uce-1203	-7584.82	-7587.38	-7588.19	-7594.11	-7585.99	
uce-1204	-5672.18	-5678.08	-5678.97	-5677.36	-5678.93	
uce-1205	-4805.60	-4807.48	-4807.46	-4806.39	-4807.01	
uce-1206	-2479.11	-2483.87	-2484.05	-2484.96	-2483.29	
uce-1207	-5419.77	-5440.64	-5444.20	-5444.14	-5439.76	
uce-1209	-4998.49	-4995.57	-4995.40	-4995.77	-4992.90	
uce-121	-4805.63	-4803.25	-4805.15	-4803.95	-4804.28	
uce-1210	-5734.13	-5732.04	-5734.13	-5734.61	-5731.41	
uce-1211	-3933.75	-3932.63	-3932.40	-3932.63	-3932.48	
uce-1212	-2816.36	-2823.28	-2823.79	-2824.82	-2824.71	
uce-1215	-6499.82	-6491.05	-6499.98	-6497.37	-6490.11	
