Locus	MEAN_COL_SCORE
AHE-L340	0.991346	
AHE-L343	1.000000	
AHE-L34	0.993363	
AHE-L350	0.955386	
AHE-L351	0.975627	
AHE-L352	0.981346	
AHE-L354	0.980087	
AHE-L357	0.995098	
AHE-L35	0.981627	
AHE-L361	0.993998	
AHE-L362	0.966912	
AHE-L364	0.992147	
AHE-L365	0.995308	
AHE-L366	0.995951	
AHE-L367	0.989520	
AHE-L368	0.984869	
AHE-L36	0.985989	
AHE-L371	0.998491	
AHE-L372	0.968750	
AHE-L377	0.982730	
AHE-L379	0.983977	
AHE-L381	0.981243	
AHE-L382	0.954490	
AHE-L386	0.971859	
AHE-L389	0.994859	
AHE-L390	0.987034	
AHE-L394	0.984152	
AHE-L395	0.976205	
AHE-L397	0.986903	
AHE-L39	0.987302	
AHE-L400	1.000000	
AHE-L401	1.000000	
AHE-L40	0.990050	
AHE-L42	1.000000	
AHE-L49	0.993141	
AHE-L52	0.979520	
AHE-L55	0.897878	
AHE-L56	0.998495	
AHE-L57	0.985932	
AHE-L61	0.949936	
AHE-L67	1.000000	
AHE-L75	0.996078	
AHE-L76	0.994902	
AHE-L80	0.917355	
AHE-L84	0.972283	
AHE-L87	0.923338	
AHE-L88	0.896158	
AHE-L93	0.961003	
AHE-L96	0.991430	
gene-AKAP9	1.000000	
gene-BDNF	0.995726	
gene-BMP2	1.000000	
gene-ENC1	1.000000	
gene-FSHR	1.000000	
gene-GALR1	0.972028	
gene-NGFB	0.977089	
gene-PNN	0.977383	
gene-SLC8A1	1.000000	
hot_H	0.871728	
input	0.976608	
uce-1003	0.952070	
uce-1004	0.958606	
uce-1005	0.991497	
uce-1008	0.974227	
uce-1010	0.991987	
uce-1012	0.956344	
uce-1013	0.970522	
uce-1014	0.974777	
uce-1017	0.735417	
uce-1018	0.929701	
uce-101	0.963977	
uce-1021	0.985843	
uce-1025	0.890511	
uce-1026	0.846821	
uce-1027	0.977401	
uce-1029	0.932619	
uce-102	0.949807	
uce-1031	0.915408	
uce-1034	0.948310	
uce-1035	0.991684	
uce-1036	0.959036	
uce-1037	0.981900	
uce-1038	0.957778	
uce-1039	0.959759	
uce-103	0.798400	
uce-1040	0.849462	
uce-1041	0.831283	
uce-1043	0.996960	
uce-1044	0.988868	
uce-1047	0.958005	
uce-1048	0.943074	
uce-1050	0.966216	
uce-1051	0.904841	
uce-1052	0.972637	
uce-1053	0.950345	
uce-1054	0.907407	
uce-1055	0.898190	
uce-1056	0.878049	
uce-1058	0.976852	
uce-105	1.000000	
uce-1060	0.875318	
uce-1061	0.953226	
uce-1062	0.973684	
uce-1063	0.982482	
uce-1064	0.954128	
uce-1065	0.989796	
uce-1068	0.940299	
uce-1069	0.985759	
uce-106	0.936842	
uce-1070	0.933219	
uce-1072	0.920123	
uce-1077	0.940299	
uce-1081	0.895118	
uce-1083	0.950113	
uce-1084	0.964657	
uce-1085	0.986425	
uce-1089	0.918728	
uce-1090	0.979275	
uce-1092	0.930108	
uce-1093	0.940358	
uce-1094	0.957983	
uce-1098	0.966561	
uce-10	0.842752	
uce-1100	0.936884	
uce-1101	0.911433	
uce-1102	0.967925	
uce-1107	0.893791	
uce-110	0.843691	
uce-1110	0.990741	
uce-1113	0.923963	
uce-1119	0.908333	
uce-111	0.884268	
uce-1120	0.975169	
uce-1121	0.965197	
uce-1122	0.985935	
uce-1123	0.914986	
uce-1126	0.782927	
uce-1127	0.986564	
uce-1128	0.974104	
uce-1131	0.940379	
uce-1133	0.932149	
uce-1134	0.907579	
uce-1135	0.981395	
uce-1136	0.967366	
uce-1138	0.887715	
uce-1139	0.973244	
uce-1141	0.933131	
uce-1143	0.941176	
uce-1148	0.917582	
uce-1149	0.989267	
uce-114	0.946281	
uce-1150	0.943987	
uce-1154	0.955385	
uce-1155	0.855649	
uce-1157	0.990676	
uce-1158	0.992357	
uce-1159	0.939326	
uce-115	1.000000	
uce-1161	0.975970	
uce-1162	0.981132	
uce-1163	0.876176	
uce-1167	0.925734	
uce-1168	0.881905	
uce-1169	0.951863	
uce-1170	0.896861	
uce-1172	0.873862	
uce-1173	0.977312	
uce-1174	0.947598	
uce-1176	0.994203	
uce-1177	0.980392	
uce-1178	0.944218	
uce-117	0.927419	
uce-1181	0.949495	
uce-1182	0.975741	
uce-1183	0.958084	
uce-1185	0.919804	
uce-1187	0.985428	
uce-1188	0.993548	
uce-1190	0.937073	
uce-1191	0.755814	
uce-1192	0.938704	
uce-1193	0.868476	
uce-1194	0.923896	
uce-119	0.958140	
uce-11	0.954474	
uce-1200	0.961039	
uce-1201	0.943052	
uce-1202	0.973641	
uce-1203	0.909496	
uce-1204	0.957353	
uce-1205	0.980344	
uce-1206	0.983696	
uce-1207	0.989605	
uce-1209	0.978916	
uce-120	0.964029	
uce-1210	0.961111	
uce-1211	0.917840	
uce-1212	0.977465	
uce-1215	0.946459	
uce-1216	0.795238	
uce-1217	1.000000	
uce-1219	0.935484	
uce-121	0.876307	
uce-1222	0.762463	
uce-1224	0.944649	
uce-1225	0.982869	
uce-1231	0.975717	
uce-1232	0.959243	
uce-1233	0.930667	
uce-1234	0.927273	
uce-1236	0.954472	
uce-1239	0.976109	
uce-1241	0.942748	
uce-1242	0.976090	
uce-1243	0.812362	
uce-1245	0.978910	
uce-1246	0.953083	
uce-124	0.978320	
uce-1250	0.964067	
uce-1252	0.985646	
uce-1253	0.900149	
uce-1255	0.970100	
uce-1256	0.968085	
uce-1257	0.988906	
uce-1259	0.828255	
uce-125	0.970297	
uce-1260	1.000000	
uce-1263	1.000000	
uce-1264	0.970383	
uce-1265	0.911602	
uce-1267	0.963399	
uce-1268	0.840611	
uce-1270	0.961199	
uce-1271	0.949511	
uce-1272	0.970075	
uce-1276	0.949765	
uce-1277	1.000000	
uce-1278	0.992248	
uce-127	0.942701	
uce-1281	0.970537	
uce-1285	0.972350	
uce-1286	0.908696	
uce-1288	0.910394	
uce-128	0.899696	
uce-1290	0.991319	
uce-1291	0.913502	
uce-1295	0.978784	
uce-1298	0.900281	
uce-1299	0.958559	
uce-129	0.974446	
uce-12	0.947674	
uce-1300	0.966725	
uce-1301	0.979050	
uce-1304	0.993548	
uce-1305	0.985740	
uce-1306	0.994371	
uce-1307	0.780443	
uce-1309	0.991879	
uce-1311	0.874663	
uce-1313	0.986523	
uce-1314	0.944759	
uce-1318	0.978587	
uce-1319	0.951163	
uce-131	0.827751	
uce-1322	0.924773	
uce-1323	0.927119	
uce-1326	0.972350	
uce-1329	0.977586	
uce-132	0.877193	
uce-1333	0.989691	
uce-1334	0.951945	
uce-1335	0.932039	
uce-1336	0.977918	
uce-1339	0.929487	
uce-1342	0.988966	
uce-1344	0.842020	
uce-1345	0.897321	
uce-1346	0.997330	
uce-1348	0.910412	
uce-1349	0.996289	
uce-134	0.956989	
uce-1350	0.983721	
uce-1351	0.955056	
uce-1354	0.950893	
uce-1357	0.948092	
uce-1358	0.960046	
uce-1359	0.943307	
uce-1360	0.989437	
uce-1361	1.000000	
uce-1362	0.977410	
uce-1363	0.938849	
uce-1366	0.939655	
uce-1367	0.936123	
uce-1368	0.970972	
uce-136	0.875380	
uce-1371	0.930966	
uce-1374	0.929545	
uce-1375	1.000000	
uce-1376	0.957701	
uce-1378	0.979487	
uce-1381	0.884268	
uce-1383	0.975309	
uce-1384	0.969502	
uce-1385	0.917197	
uce-1389	0.834625	
uce-1390	0.918367	
uce-1392	0.810198	
uce-1393	0.984877	
uce-1394	0.994839	
uce-1395	0.976048	
uce-1396	1.000000	
uce-1397	0.965686	
uce-139	0.967546	
uce-1402	0.912029	
uce-1403	0.944367	
uce-1405	0.971129	
uce-1408	0.860068	
uce-1410	0.949580	
uce-1412	0.953101	
uce-1413	0.940729	
uce-1415	0.980952	
uce-1417	0.921245	
uce-1419	0.948299	
uce-1420	0.962963	
uce-1422	0.813131	
uce-1423	0.983051	
uce-1424	0.942373	
uce-1425	0.921671	
uce-1427	0.997585	
uce-142	0.883249	
uce-1430	0.993174	
uce-1434	0.872763	
uce-1435	0.869497	
uce-1438	0.923077	
uce-143	0.979943	
uce-1442	0.961353	
uce-1446	0.930830	
uce-1447	0.995565	
uce-144	0.964286	
uce-1450	0.949821	
uce-1451	0.962406	
uce-1453	0.979021	
uce-1454	0.895641	
uce-1456	0.947160	
uce-1457	0.967677	
uce-1458	0.993697	
uce-1462	0.850158	
uce-1463	0.902475	
uce-1466	0.977316	
uce-1467	0.849722	
uce-1468	0.923395	
uce-1469	0.958269	
uce-146	0.990278	
uce-1470	0.980745	
uce-1471	0.981061	
uce-1474	0.925926	
uce-1476	0.960340	
uce-1477	0.970228	
uce-1478	0.958153	
uce-147	0.838852	
uce-1480	0.937023	
uce-1482	0.942928	
uce-1483	0.990840	
uce-1484	0.980462	
uce-1485	0.915430	
uce-1488	0.904762	
uce-1489	0.979675	
uce-148	0.912281	
uce-1490	0.860063	
uce-1492	0.982270	
uce-1497	0.941926	
uce-1498	0.932609	
uce-1499	0.979757	
uce-149	0.994374	
uce-14	1.000000	
uce-1500	0.906442	
uce-1501	0.968504	
uce-1504	0.927203	
uce-1506	0.795527	
uce-1507	0.862191	
uce-1508	0.989775	
uce-1509	0.934524	
uce-1511	0.919048	
uce-1512	0.968254	
uce-1514	0.963315	
uce-1520	0.979487	
uce-1523	0.976936	
uce-1526	0.957346	
uce-1528	0.926471	
uce-1529	0.990888	
uce-1530	1.000000	
uce-1531	0.907489	
uce-1533	0.860550	
uce-1535	0.974490	
uce-1538	0.948837	
uce-1539	0.932070	
uce-153	0.861199	
uce-1540	0.943627	
uce-1544	0.930591	
uce-1545	0.982695	
uce-1547	0.989150	
uce-154	0.972177	
uce-1550	0.897500	
uce-1552	0.968072	
uce-1555	0.950092	
uce-1556	0.992908	
uce-1558	0.982942	
uce-1560	0.942699	
uce-1561	0.908683	
uce-1562	0.916399	
uce-1563	0.704805	
uce-1564	0.918089	
uce-1565	0.961774	
uce-1566	0.979398	
uce-1568	0.935282	
uce-1569	0.901503	
uce-1570	1.000000	
uce-1572	0.945175	
uce-1573	0.974806	
uce-1576	0.980870	
uce-1579	0.941573	
uce-157	0.902549	
uce-1580	0.947455	
uce-1581	0.923828	
uce-1582	1.000000	
uce-1586	0.981265	
uce-1588	0.993988	
uce-1590	0.980614	
uce-1591	0.997024	
uce-1594	0.891837	
uce-1597	0.925217	
uce-1598	0.816406	
uce-15	0.986364	
uce-1600	0.946467	
uce-1601	1.000000	
uce-1602	0.993711	
uce-1606	0.967016	
uce-1610	1.000000	
uce-1611	0.968952	
uce-1613	0.951140	
uce-1614	0.958412	
uce-1616	0.930693	
uce-1618	0.903704	
uce-161	0.975124	
uce-1621	0.960094	
uce-1622	0.959752	
uce-1624	0.880952	
uce-1625	0.977376	
uce-1629	0.990278	
uce-162	0.961415	
uce-1630	0.986339	
uce-1631	0.925852	
uce-1633	0.993949	
uce-1634	0.956403	
uce-1636	0.955823	
uce-1639	0.964497	
uce-1641	0.964706	
uce-1642	0.956294	
uce-1643	0.929530	
uce-1644	0.981567	
uce-1645	0.950653	
uce-1648	0.974874	
uce-1649	0.970480	
uce-1650	0.957944	
uce-1652	0.954023	
uce-1653	0.986842	
uce-1655	0.974478	
uce-1658	0.991573	
uce-1659	0.832669	
uce-1660	0.961921	
uce-1662	0.930493	
uce-1667	0.931429	
uce-166	0.940532	
uce-1671	0.927305	
uce-1675	0.940476	
uce-1677	0.965071	
uce-1678	0.989556	
uce-1679	0.991289	
uce-1680	0.952267	
uce-1683	0.971014	
uce-1685	0.972527	
uce-1689	0.979695	
uce-1690	0.932127	
uce-1692	0.972650	
uce-1693	1.000000	
uce-1694	0.931907	
uce-1695	0.982323	
uce-1698	0.921801	
uce-169	0.931655	
uce-16	0.979502	
uce-1702	0.775298	
uce-1703	0.952778	
uce-1705	0.966797	
uce-1706	0.919922	
uce-1707	0.965426	
uce-1708	0.799342	
uce-1709	0.970282	
uce-170	0.946117	
uce-1713	0.933333	
uce-1718	0.934322	
uce-1719	0.934664	
uce-171	0.981308	
uce-1722	0.959350	
uce-1723	0.946774	
uce-172	0.908738	
uce-1731	0.885671	
uce-1732	0.991131	
uce-1733	0.931284	
uce-1736	0.941748	
uce-173	0.977465	
uce-1741	0.920182	
uce-1742	0.951786	
uce-1743	0.977492	
uce-1744	0.929638	
uce-1745	0.971326	
uce-1746	0.885246	
uce-1747	0.983368	
uce-1748	0.966555	
uce-1749	0.948240	
uce-1750	0.958277	
uce-1751	0.972637	
uce-1752	0.862398	
uce-1753	0.991952	
uce-1754	0.987889	
uce-1756	0.944785	
uce-1757	0.874404	
uce-1758	0.937220	
uce-1759	0.985955	
uce-175	0.960422	
uce-1762	0.972461	
uce-1763	0.989796	
uce-1765	0.974513	
uce-1766	0.976923	
uce-1767	0.932551	
uce-1768	0.987597	
uce-1769	0.978091	
uce-1770	0.948980	
uce-1774	0.977597	
uce-1775	0.977974	
uce-1776	0.980040	
uce-1777	0.804721	
uce-177	0.983114	
uce-1780	0.928135	
uce-1781	0.975791	
uce-1782	0.869650	
uce-1783	0.942675	
uce-1785	0.900212	
uce-1786	0.787356	
uce-1787	0.980273	
uce-178	0.938815	
uce-1793	0.979079	
uce-1794	0.996357	
uce-1796	0.979730	
uce-1798	0.967347	
uce-17	0.972387	
uce-1800	0.990533	
uce-1802	0.953908	
uce-1804	0.926400	
uce-1805	0.958188	
uce-1806	0.940582	
uce-1808	0.938776	
uce-1809	0.990268	
uce-180	0.949033	
uce-1810	0.745763	
uce-1811	0.967500	
uce-1813	0.931343	
uce-1814	0.978799	
uce-1816	0.955182	
uce-1817	1.000000	
uce-1819	0.953349	
uce-181	0.924429	
uce-1820	0.945750	
uce-1822	0.955224	
uce-1823	0.918149	
uce-1824	0.954849	
uce-1825	0.953556	
uce-1828	0.992806	
uce-182	0.995313	
uce-1830	0.978967	
uce-1832	0.995146	
uce-1834	0.937153	
uce-1835	0.952715	
uce-1836	0.954678	
uce-183	0.987552	
uce-1841	0.940945	
uce-1842	0.929553	
uce-1843	0.963605	
uce-1845	0.960317	
uce-1846	0.958146	
uce-1849	0.991274	
uce-1850	0.962433	
uce-1858	0.956140	
uce-1859	0.969565	
uce-185	0.791519	
uce-1860	0.989521	
uce-1863	0.984962	
uce-1864	0.647682	
uce-1865	0.949405	
uce-1867	0.958848	
uce-1868	0.973770	
uce-1869	0.994700	
uce-186	1.000000	
uce-1873	0.979920	
uce-1875	0.942786	
uce-1877	0.966614	
uce-1878	0.980800	
uce-1879	0.994863	
uce-1880	0.918651	
uce-1884	0.878788	
uce-1886	0.931929	
uce-1888	0.988095	
uce-1889	0.929134	
uce-188	0.965009	
uce-1890	0.982332	
uce-1891	0.966330	
uce-1892	0.875000	
uce-1893	0.985591	
uce-1895	0.867041	
uce-1896	0.839080	
uce-1897	0.969101	
uce-1898	0.963437	
uce-1899	0.991119	
uce-18	0.985782	
uce-1900	0.956621	
uce-1903	1.000000	
uce-1904	0.925444	
uce-1906	0.941919	
uce-1907	0.928025	
uce-1908	0.977966	
uce-1909	0.980998	
uce-190	0.988528	
uce-1910	0.973761	
uce-1911	0.954128	
uce-1912	0.898799	
uce-1913	0.935185	
uce-1914	0.953659	
uce-1915	1.000000	
uce-1917	0.859451	
uce-1918	1.000000	
uce-1919	0.916256	
uce-191	0.975945	
uce-1920	0.968566	
uce-1922	0.965997	
uce-1925	0.993528	
uce-1928	0.936027	
uce-1929	0.989529	
uce-192	0.951923	
uce-1932	0.986957	
uce-1933	0.963855	
uce-1937	0.979710	
uce-1938	0.822917	
uce-1941	0.916350	
uce-1943	0.907343	
uce-1946	0.874251	
uce-1956	0.860817	
uce-195	0.930943	
uce-1960	0.932227	
uce-1961	1.000000	
uce-1963	0.960854	
uce-1964	0.985545	
uce-1965	0.966057	
uce-1966	0.834783	
uce-1967	0.993902	
uce-1969	0.932673	
uce-1970	0.970213	
uce-1971	0.941973	
uce-1972	0.960699	
uce-1975	0.954993	
uce-1976	0.934319	
uce-1977	0.990043	
uce-1979	0.966592	
uce-1980	0.933993	
uce-1981	0.940230	
uce-1982	0.985782	
uce-1983	0.947146	
uce-1985	0.982211	
uce-1986	0.962963	
uce-1988	0.994812	
uce-1989	0.946704	
uce-198	0.973958	
uce-1993	0.964286	
uce-1995	0.942717	
uce-1996	0.990177	
uce-1997	0.978884	
uce-1998	0.986965	
uce-1999	0.986183	
uce-19	0.927476	
uce-2000	0.968553	
uce-2001	0.949664	
uce-2003	0.935335	
uce-2004	0.969697	
uce-2005	0.929104	
uce-2006	0.932524	
uce-2007	0.921017	
uce-2008	0.941263	
uce-2009	0.953846	
uce-200	0.933042	
uce-2010	0.980392	
uce-2012	0.979367	
uce-2013	0.950355	
uce-2014	0.972669	
uce-2016	0.938744	
uce-2018	0.836018	
uce-201	0.969072	
uce-2020	1.000000	
uce-2021	0.981612	
uce-2023	0.969419	
uce-2024	0.914657	
uce-2025	0.964587	
uce-2028	0.950372	
uce-202	0.958861	
uce-2030	0.940447	
uce-2031	0.973228	
uce-2033	0.930108	
uce-2034	0.987680	
uce-2035	0.911290	
uce-2036	0.960656	
uce-2037	0.975669	
uce-2040	1.000000	
uce-2041	0.978558	
uce-2042	0.970861	
uce-2043	0.965672	
uce-2045	0.955696	
uce-2046	0.971631	
uce-2048	0.936210	
uce-2049	0.929279	
uce-204	0.968227	
uce-2051	0.946463	
uce-2053	0.646226	
uce-2054	0.972881	
uce-2055	0.992443	
uce-2057	0.969697	
uce-205	0.961794	
uce-2060	0.978520	
uce-2062	0.990291	
uce-2063	0.951644	
uce-2064	0.929360	
uce-2066	0.888889	
uce-2068	0.939568	
uce-2069	0.970845	
uce-2070	0.968750	
uce-2073	0.944134	
uce-2075	0.811088	
uce-2076	1.000000	
uce-2077	0.846512	
uce-2079	0.925455	
uce-207	0.921899	
uce-2080	0.974737	
uce-2082	0.959807	
uce-2083	0.970093	
uce-2086	0.965404	
uce-2088	0.957192	
uce-2089	0.923328	
uce-208	0.986000	
uce-2090	0.975921	
uce-2092	0.941278	
uce-2094	0.978887	
uce-2096	0.967033	
uce-2099	0.978764	
uce-2100	0.936204	
uce-2102	0.965157	
uce-2103	0.980998	
uce-2104	0.926724	
uce-2108	0.978602	
uce-2109	0.944186	
uce-2111	0.956897	
uce-2112	0.975194	
uce-2113	0.982206	
uce-2114	0.961353	
uce-2116	0.932971	
uce-2118	0.840796	
uce-2119	0.772394	
uce-211	0.981584	
uce-2120	0.961468	
uce-2122	0.990640	
uce-2124	0.948454	
uce-2125	0.991471	
uce-2126	0.882759	
uce-2127	0.944637	
uce-2129	0.939759	
uce-212	0.949212	
uce-2131	0.993730	
uce-2134	0.884146	
uce-2135	0.861436	
uce-2136	0.970000	
uce-2138	0.919455	
uce-213	0.982906	
uce-2140	0.934066	
uce-2142	1.000000	
uce-2145	0.976608	
uce-2146	0.939271	
uce-2147	0.988636	
uce-2149	0.986755	
uce-2151	0.984211	
uce-2152	0.993631	
uce-2154	0.953596	
uce-2155	0.992481	
uce-2156	0.951648	
uce-215	0.992079	
uce-2160	0.952077	
uce-2162	0.870920	
uce-2163	0.962578	
uce-2164	0.993135	
uce-2165	0.832031	
uce-2166	0.963788	
uce-2168	0.877778	
uce-2169	1.000000	
uce-2172	0.851100	
uce-2175	0.951890	
uce-2176	0.987013	
uce-2177	0.964088	
uce-2178	0.920826	
uce-2179	0.947735	
uce-2180	0.986464	
uce-2183	0.879004	
uce-2184	0.953125	
uce-2185	0.978923	
uce-2187	0.867749	
uce-2190	0.972743	
uce-2193	0.896936	
uce-2194	0.903587	
uce-2195	0.968831	
uce-2196	0.903353	
uce-2198	0.957547	
uce-219	0.964775	
uce-2201	0.908686	
uce-2202	0.844017	
uce-2204	0.988235	
uce-2206	0.972222	
uce-2208	0.648485	
uce-2209	0.952381	
uce-220	0.806405	
uce-2211	0.928044	
uce-2212	1.000000	
uce-2213	0.986667	
uce-2217	0.795527	
uce-2219	0.947455	
uce-221	0.965596	
uce-2220	0.880309	
uce-2222	0.939929	
uce-2223	0.926829	
uce-2224	0.881919	
uce-2225	0.936752	
uce-2226	0.931350	
uce-2229	0.907407	
uce-222	0.976744	
uce-2230	0.819897	
uce-2231	0.961969	
uce-2233	1.000000	
uce-2235	0.909302	
uce-2238	0.924499	
uce-2239	0.963190	
uce-223	0.984394	
uce-2243	0.993631	
uce-2245	0.936214	
uce-2246	0.986979	
uce-2247	0.970219	
uce-2248	0.934985	
uce-224	0.955446	
uce-2250	0.954693	
uce-2251	0.828306	
uce-2252	0.938662	
uce-2253	0.922105	
uce-2255	0.843137	
uce-2257	0.947808	
uce-2259	0.970109	
uce-225	0.919877	
uce-2260	0.910843	
uce-2261	0.990602	
uce-2263	0.875676	
uce-2265	0.937904	
uce-2266	0.934343	
uce-2267	0.856649	
uce-2270	0.897996	
uce-2273	0.921384	
uce-2274	0.848889	
uce-2275	0.729412	
uce-2276	0.764000	
uce-2277	0.736994	
uce-2278	0.938398	
uce-2279	0.959790	
uce-227	0.915160	
uce-2282	1.000000	
uce-2283	0.953448	
uce-2284	0.949749	
uce-2287	0.982759	
uce-2288	0.916168	
uce-2289	0.994521	
uce-2291	0.939502	
uce-2293	1.000000	
uce-2294	0.916667	
uce-2296	0.925856	
uce-2297	0.971264	
uce-2298	0.920000	
uce-2302	0.970060	
uce-2303	0.938272	
uce-2306	0.966292	
uce-2308	0.974286	
uce-2309	0.984000	
uce-230	0.937785	
uce-2310	0.965789	
uce-2312	0.927619	
uce-2313	0.952596	
uce-2315	0.968354	
uce-2319	0.972340	
uce-231	0.965596	
uce-2320	0.906736	
uce-2321	0.938525	
uce-2325	0.929752	
uce-2326	0.907095	
uce-2328	0.959677	
uce-232	0.933810	
uce-2331	0.989960	
uce-2334	0.980738	
uce-2335	0.955810	
uce-2336	0.952542	
uce-2338	0.903162	
uce-233	0.968992	
uce-2340	0.980676	
uce-2341	0.958738	
uce-2342	0.946939	
uce-2344	0.970845	
uce-2345	1.000000	
uce-2346	0.991837	
uce-2347	0.935035	
uce-2349	0.866290	
uce-234	0.918831	
uce-2350	0.800539	
uce-2352	0.934081	
uce-2353	0.944251	
uce-2356	0.971857	
uce-2357	0.977833	
uce-2358	0.882948	
uce-235	0.898187	
uce-2361	0.975169	
uce-2365	0.986667	
uce-2366	0.755027	
uce-2367	0.954474	
uce-2369	0.878873	
uce-2370	0.920543	
uce-2371	0.944785	
uce-2372	0.970516	
uce-2376	0.966102	
uce-2377	1.000000	
uce-2378	0.967249	
uce-2379	0.821978	
uce-237	0.991758	
uce-2380	0.920000	
uce-2383	0.987893	
uce-2384	0.870769	
uce-2385	0.925439	
uce-2386	0.804795	
uce-2387	0.954128	
uce-2388	0.934177	
uce-2389	0.977848	
uce-238	0.947776	
uce-2392	0.932471	
uce-2393	0.938776	
uce-2395	0.833625	
uce-2396	0.898820	
uce-2397	0.932551	
uce-2399	0.787302	
uce-239	0.986127	
uce-23	0.964664	
uce-2400	0.935897	
uce-2404	0.958188	
uce-2406	0.881395	
uce-2407	0.989796	
uce-2409	0.944798	
uce-240	0.972973	
uce-2414	0.980392	
uce-2415	0.927107	
uce-2416	0.912473	
uce-2417	0.964539	
uce-2418	0.919492	
uce-2419	0.991304	
uce-241	0.977654	
uce-2422	0.936139	
uce-2423	0.978102	
uce-2427	0.868102	
uce-242	0.812925	
uce-2431	0.954758	
uce-2432	0.970845	
uce-2433	0.939698	
uce-2435	0.969388	
uce-2437	0.916505	
uce-2438	0.889597	
uce-2439	0.825776	
uce-243	0.978070	
uce-2441	0.995902	
uce-2442	0.948320	
uce-2444	0.960938	
uce-2445	0.989510	
uce-2446	0.764151	
uce-2447	0.879570	
uce-2448	0.982684	
uce-2450	0.951613	
uce-2451	0.931548	
uce-2452	0.977273	
uce-2453	0.903465	
uce-2454	0.977716	
uce-2455	0.891892	
uce-2456	0.886598	
uce-2457	0.921053	
uce-2459	0.986532	
uce-245	0.981132	
uce-2461	0.923645	
uce-2462	0.930667	
uce-2464	0.954155	
uce-2465	0.980220	
uce-2466	0.961977	
uce-2468	0.922201	
uce-2469	0.821530	
uce-246	0.904494	
uce-2471	0.966431	
uce-2472	0.943739	
uce-2474	0.957447	
uce-2475	0.961039	
uce-2476	0.981293	
uce-2478	0.917208	
uce-2480	0.945848	
uce-2482	0.957711	
uce-2485	0.899628	
uce-2486	0.867188	
uce-2487	0.874016	
uce-2488	0.968553	
uce-2489	0.975045	
uce-248	0.976431	
uce-2498	0.894879	
uce-249	0.955882	
uce-24	0.934516	
uce-2502	0.924706	
uce-2503	0.976526	
uce-2504	0.922432	
uce-2505	0.948718	
uce-2506	0.928571	
uce-2507	0.924000	
uce-2508	0.922559	
uce-2509	0.958333	
uce-2510	0.972281	
uce-2511	0.985782	
uce-2512	0.959799	
uce-2514	0.856557	
uce-2515	0.985600	
uce-2516	0.996928	
uce-251	0.986175	
uce-2521	0.894281	
uce-2522	0.835443	
uce-2525	0.992424	
uce-2526	0.965190	
uce-2529	0.951261	
uce-252	0.984211	
uce-2531	0.978313	
uce-2533	0.982609	
uce-2534	0.932367	
uce-2537	0.927512	
