Locus	MEAN_COL_SCORE
AHE-L61	0.970310	
AHE-L63	1.000000	
AHE-L64	1.000000	
AHE-L65	1.000000	
AHE-L75	0.994186	
AHE-L76	0.985366	
AHE-L80	0.982301	
AHE-L82	1.000000	
AHE-L84	0.979349	
AHE-L85	0.988967	
AHE-L86	1.000000	
AHE-L87	0.912404	
AHE-L88	0.872917	
AHE-L89	0.993399	
AHE-L8	0.990895	
AHE-L93	0.962099	
AHE-L95	0.986254	
AHE-L96	0.992720	
AHE-L98	0.979641	
gene-BDNF	0.985154	
gene-BMP2	0.910180	
gene-cmos	0.990868	
gene-ECEL	1.000000	
gene-ENC1	1.000000	
gene-FSHR	0.997314	
gene-FSTL5	0.975638	
gene-GALR1	0.979434	
gene-INHIBA	0.955115	
gene-LRRN1	0.974766	
gene-LZTSS1	1.000000	
gene-NGFB	0.964194	
gene-PNN	0.962010	
gene-SLC30A1	0.985054	
gene-SLC8A1	0.991859	
gene-ZFP36L1	0.988909	
uce-1003	0.954365	
uce-1004	0.951267	
uce-1005	0.980263	
uce-1008	0.969549	
uce-1010	0.966767	
uce-1012	0.972368	
uce-1013	0.902778	
uce-1014	0.976812	
uce-1017	0.926540	
uce-1018	0.972222	
uce-101	0.917456	
uce-1021	0.991587	
uce-1025	0.867925	
uce-1026	0.969697	
uce-1027	0.920228	
uce-1029	0.902145	
uce-102	0.870736	
uce-1031	0.961844	
uce-1034	0.922921	
uce-1035	0.988439	
uce-1036	0.961631	
uce-1037	0.946875	
uce-1038	0.965556	
uce-1039	0.926948	
uce-103	0.934370	
uce-1040	0.979439	
uce-1041	0.872263	
uce-1043	0.976574	
uce-1044	0.960821	
uce-1047	0.816176	
uce-1048	0.848765	
uce-1050	0.981004	
uce-1051	0.936460	
uce-1052	0.953020	
uce-1053	0.952055	
uce-1054	0.930097	
uce-1055	0.867514	
uce-1056	0.936709	
uce-1058	0.935614	
uce-1059	0.884120	
uce-105	1.000000	
uce-1060	0.756345	
uce-1061	0.956259	
uce-1062	0.936986	
uce-1063	0.941176	
uce-1064	0.952070	
uce-1065	0.967337	
uce-1068	0.897059	
uce-1069	0.993496	
uce-106	0.907378	
uce-1070	0.951402	
uce-1072	0.862994	
uce-1077	0.938979	
uce-1081	0.925466	
uce-1083	0.936842	
uce-1084	0.880866	
uce-1085	0.900000	
uce-1088	0.945055	
uce-1089	0.881579	
uce-1090	1.000000	
uce-1092	0.915470	
uce-1093	0.958258	
uce-1094	0.936905	
uce-1098	0.941363	
uce-10	0.911712	
uce-1100	0.913876	
uce-1101	0.907131	
uce-1102	0.960000	
uce-1107	0.890344	
uce-110	0.865031	
uce-1110	0.947796	
uce-1113	0.855346	
uce-1119	0.945545	
uce-111	0.862191	
uce-1120	0.944444	
uce-1121	0.985000	
uce-1122	0.958051	
uce-1123	0.892031	
uce-1126	0.733967	
uce-1127	0.955140	
uce-1128	0.961872	
uce-1131	0.908333	
uce-1133	0.945908	
uce-1134	0.889600	
uce-1135	0.924115	
uce-1136	0.964912	
uce-1138	0.948179	
uce-1139	0.920000	
uce-1141	0.910198	
uce-1143	0.930939	
uce-1148	0.855186	
uce-1149	0.972028	
uce-114	0.880309	
uce-1150	0.848855	
uce-1154	0.957792	
uce-1155	0.973154	
uce-1157	0.980237	
uce-1158	0.943937	
uce-1159	0.893333	
uce-115	0.984026	
uce-1161	0.968750	
uce-1162	0.968284	
uce-1163	0.869067	
uce-1167	0.953767	
uce-1168	0.870492	
uce-1169	0.954058	
uce-1170	0.903481	
uce-1172	0.959786	
uce-1173	0.979299	
uce-1174	0.964286	
uce-1176	0.955294	
uce-1177	1.000000	
uce-1178	0.934487	
uce-117	0.899177	
uce-1181	0.934947	
uce-1182	0.987124	
uce-1183	0.968927	
uce-1185	0.831071	
uce-1187	0.934272	
uce-1188	0.947518	
uce-1190	0.915436	
uce-1191	0.734351	
uce-1192	0.904065	
uce-1193	0.866995	
uce-1194	0.922945	
uce-119	0.934959	
uce-11	0.951258	
uce-1200	0.870567	
uce-1201	0.846868	
uce-1202	0.933726	
uce-1203	0.864242	
uce-1204	0.980122	
uce-1205	0.927313	
uce-1206	0.994832	
uce-1207	0.876623	
uce-1209	0.956815	
uce-120	0.978723	
uce-1210	0.863338	
uce-1211	0.891827	
uce-1212	0.988920	
uce-1215	0.962843	
uce-1216	0.967655	
uce-1217	0.995876	
uce-1219	0.908714	
uce-121	0.882353	
uce-1222	0.936170	
uce-1224	0.899497	
uce-1225	0.949772	
uce-1231	0.961771	
uce-1232	0.950147	
uce-1233	0.912114	
uce-1234	0.968566	
uce-1236	0.776068	
uce-1239	0.909091	
uce-1241	0.937824	
uce-1242	0.964646	
uce-1243	0.937853	
uce-1245	0.947853	
uce-1246	0.950392	
uce-124	0.851955	
uce-1250	0.939759	
uce-1251	0.937768	
uce-1252	0.985169	
uce-1253	0.933036	
uce-1255	0.984520	
uce-1256	0.933174	
uce-1257	0.958652	
uce-1259	0.976359	
uce-125	0.936471	
uce-1260	0.997738	
uce-1263	1.000000	
uce-1264	0.989071	
uce-1265	0.907816	
uce-1267	0.942488	
uce-1268	0.854031	
uce-1270	0.974026	
uce-1271	0.965686	
uce-1272	0.937580	
uce-1276	0.935345	
uce-1277	0.991497	
uce-1278	0.960784	
uce-127	0.958393	
uce-1281	0.869494	
uce-1285	0.942130	
uce-1286	0.891403	
uce-1288	0.770548	
uce-128	0.816284	
uce-1290	0.992089	
uce-1291	0.873518	
uce-1295	0.940299	
uce-1298	0.909946	
uce-1299	0.847826	
uce-129	0.942636	
uce-12	0.974638	
uce-1300	0.949091	
uce-1301	0.957638	
uce-1304	0.980978	
uce-1305	0.991071	
uce-1306	0.981366	
uce-1307	0.874380	
uce-1309	0.969866	
uce-1311	0.943197	
uce-1313	0.994521	
uce-1314	0.952978	
uce-1318	0.876712	
uce-1319	0.873351	
uce-131	0.961491	
uce-1322	0.968347	
uce-1323	0.937600	
uce-1324	0.966368	
uce-1326	0.944568	
uce-1329	0.972274	
uce-132	0.885856	
uce-1333	0.969388	
uce-1334	0.932836	
uce-1335	0.961023	
uce-1336	0.937313	
uce-1339	0.921248	
uce-1342	0.971649	
uce-1344	0.903114	
uce-1345	0.897778	
uce-1346	0.971779	
uce-1348	0.960660	
uce-1349	0.982487	
uce-134	0.952790	
uce-1350	0.962353	
uce-1351	0.937250	
uce-1354	0.910284	
uce-1357	0.908065	
uce-1358	0.927179	
uce-1359	0.975767	
uce-1360	0.970297	
uce-1361	0.939900	
uce-1362	0.935484	
uce-1363	0.933333	
uce-1366	0.968883	
uce-1367	0.938272	
uce-1368	0.948101	
uce-136	0.928571	
uce-1371	0.923379	
uce-1374	0.844156	
uce-1375	1.000000	
uce-1376	0.926882	
uce-1378	0.892857	
uce-1381	0.913306	
uce-1383	0.971074	
uce-1384	0.956098	
uce-1385	0.876565	
uce-1389	0.846939	
uce-1390	0.916031	
uce-1392	0.819149	
uce-1393	0.933858	
uce-1394	0.931873	
uce-1395	0.954617	
uce-1396	1.000000	
uce-1397	0.898734	
uce-139	0.947541	
uce-1402	0.872137	
uce-1403	0.854200	
uce-1405	0.975871	
uce-1408	0.928662	
uce-1410	0.954198	
uce-1412	0.966238	
uce-1413	0.892550	
uce-1415	0.947368	
uce-1417	0.916388	
uce-1419	0.976839	
uce-1420	0.939314	
uce-1423	0.981429	
uce-1424	0.964948	
uce-1425	0.930988	
uce-1427	0.972789	
uce-142	1.000000	
uce-1430	0.851429	
uce-1434	0.969892	
uce-1435	0.858054	
uce-1438	0.866232	
uce-143	0.988914	
uce-1442	0.973597	
uce-1446	0.894643	
uce-1447	0.977956	
uce-144	0.975570	
uce-1450	0.978456	
uce-1451	0.938931	
uce-1453	0.965560	
uce-1454	0.915007	
uce-1456	0.916901	
uce-1457	0.878968	
uce-1458	0.994764	
uce-1462	0.937097	
uce-1463	0.884980	
uce-1466	0.901685	
uce-1467	0.896104	
uce-1468	0.900810	
uce-1469	0.968276	
uce-146	0.980198	
uce-1470	0.975550	
uce-1471	0.982699	
uce-1474	0.949033	
uce-1476	1.000000	
uce-1477	0.920204	
uce-1478	0.939808	
uce-147	0.858586	
uce-1480	0.937206	
uce-1482	0.936709	
uce-1483	0.961538	
uce-1484	0.963516	
uce-1485	0.848442	
uce-1488	0.919725	
uce-1489	0.914851	
uce-148	0.911111	
uce-1490	0.989848	
uce-1492	0.959479	
uce-1497	0.970899	
uce-1498	0.964835	
uce-1499	0.995789	
uce-149	0.986216	
uce-14	0.985119	
uce-1500	0.940184	
uce-1501	0.962109	
uce-1504	0.942857	
uce-1506	0.900316	
uce-1507	0.891803	
uce-1508	0.991968	
uce-1509	0.835821	
uce-1511	0.892226	
uce-1512	0.961929	
uce-1514	0.943912	
uce-1520	0.938462	
uce-1523	0.962109	
uce-1526	0.926893	
uce-1528	0.894587	
uce-1529	0.978431	
uce-1530	1.000000	
uce-1531	0.922747	
uce-1533	0.907473	
uce-1535	0.966027	
uce-1538	0.961471	
uce-1539	0.858939	
uce-153	0.879442	
uce-1540	0.925641	
uce-1544	0.933518	
uce-1545	0.967489	
uce-1547	0.983713	
uce-154	0.896024	
uce-1550	0.946779	
uce-1552	0.965812	
uce-1555	0.930979	
uce-1556	0.976190	
uce-1558	0.934091	
uce-1560	0.986538	
uce-1561	0.833073	
uce-1562	0.944444	
uce-1563	0.989362	
uce-1564	0.922428	
uce-1565	0.904698	
uce-1566	0.980741	
uce-1568	0.956000	
uce-1569	0.950442	
uce-1570	1.000000	
uce-1572	0.965235	
uce-1573	0.960443	
uce-1576	0.968116	
uce-1579	0.969697	
uce-157	0.933442	
uce-1580	0.931398	
uce-1581	0.901554	
uce-1582	0.940659	
uce-1586	0.957447	
uce-1588	0.990234	
uce-1590	0.969466	
uce-1591	0.970414	
uce-1594	0.896373	
uce-1597	0.915808	
uce-1598	0.942667	
uce-15	0.997085	
uce-1600	0.884368	
uce-1601	1.000000	
uce-1602	0.969231	
uce-1606	0.986745	
uce-1610	1.000000	
uce-1611	0.970588	
uce-1613	0.941964	
uce-1614	0.918919	
uce-1616	0.913115	
uce-1618	0.955513	
uce-161	0.915152	
uce-1621	0.946701	
uce-1622	0.990196	
uce-1624	0.834545	
uce-1625	0.974952	
uce-1629	0.975398	
uce-162	0.926471	
uce-1630	0.961404	
uce-1631	0.901613	
uce-1633	0.966013	
uce-1634	0.938642	
uce-1636	0.930769	
uce-1639	0.956104	
uce-1641	0.964789	
uce-1642	0.954984	
uce-1643	0.995181	
uce-1644	0.954148	
uce-1645	0.910608	
uce-1648	0.933135	
uce-1649	0.900000	
uce-1650	0.946578	
uce-1652	0.944554	
uce-1653	1.000000	
uce-1658	0.936054	
uce-1659	0.818671	
uce-1660	0.970050	
uce-1662	0.961538	
uce-1667	0.952857	
uce-166	0.912000	
uce-1671	0.951505	
uce-1675	0.926108	
uce-1677	0.950887	
uce-1678	0.981084	
uce-1679	0.969643	
uce-1680	0.890728	
uce-1683	0.923437	
uce-1685	0.944444	
uce-1689	0.985423	
uce-1690	0.928155	
uce-1692	0.965940	
uce-1693	0.963446	
uce-1694	0.924242	
uce-1695	0.978903	
uce-1698	0.905000	
uce-169	0.926733	
uce-16	0.986207	
uce-1702	0.885099	
uce-1703	0.923288	
uce-1705	0.890566	
uce-1706	0.925606	
uce-1707	0.959893	
uce-1708	0.868217	
uce-1709	0.917404	
uce-170	0.913505	
uce-1713	0.949454	
uce-1718	0.968864	
uce-1719	0.854569	
uce-171	0.969466	
uce-1722	0.849624	
uce-1723	0.904110	
uce-172	0.923237	
uce-1731	0.842105	
uce-1732	0.958015	
uce-1733	0.917857	
uce-1736	0.942149	
uce-173	0.968116	
uce-1741	0.923168	
uce-1742	0.938127	
uce-1743	0.955665	
uce-1744	0.904206	
uce-1745	0.972835	
uce-1746	0.938507	
uce-1747	0.964981	
uce-1748	0.978873	
uce-1749	0.891540	
uce-1750	0.961756	
uce-1751	0.973810	
uce-1752	0.855319	
uce-1753	0.975359	
uce-1754	1.000000	
uce-1756	0.978659	
uce-1757	0.896797	
uce-1758	0.944934	
uce-1759	0.993750	
uce-175	0.971564	
uce-1762	0.920195	
uce-1763	0.895425	
uce-1765	0.962466	
uce-1766	0.856637	
uce-1767	0.972769	
uce-1768	0.973475	
uce-1769	0.957869	
uce-1770	0.960069	
uce-1774	0.959770	
uce-1775	0.964286	
uce-1776	0.928105	
uce-1777	0.863980	
uce-177	0.965583	
uce-1780	0.903930	
uce-1781	0.953719	
uce-1782	0.835391	
uce-1783	0.959227	
uce-1785	0.974057	
uce-1786	0.962462	
uce-1787	0.966079	
uce-178	0.930754	
uce-1793	0.970021	
uce-1794	0.980922	
uce-1796	0.965839	
uce-1798	0.968439	
uce-17	0.864542	
uce-1800	0.983122	
uce-1802	0.920833	
uce-1804	0.977883	
uce-1805	0.950057	
uce-1806	0.879442	
uce-1808	0.925197	
uce-1809	0.973635	
uce-180	0.927711	
uce-1810	0.602992	
uce-1811	0.965739	
uce-1813	0.948498	
uce-1814	0.970346	
uce-1816	0.928994	
uce-1817	0.992188	
uce-1819	0.967285	
uce-181	0.970501	
uce-1820	0.879496	
uce-1822	0.955117	
uce-1823	0.814953	
uce-1824	0.958882	
uce-1825	0.895151	
uce-1826	0.946429	
uce-1828	0.979911	
uce-182	0.941482	
uce-1830	0.944828	
uce-1832	0.984169	
uce-1835	0.956140	
uce-1836	0.921162	
uce-183	0.923483	
uce-1841	0.962222	
uce-1842	0.898551	
uce-1843	0.931854	
uce-1845	0.920074	
uce-1846	0.976440	
uce-1849	0.987889	
uce-1850	0.982699	
uce-1858	0.862237	
uce-1859	0.942149	
uce-185	0.829596	
uce-1860	0.987069	
uce-1863	0.931900	
uce-1864	0.830320	
uce-1865	0.945347	
uce-1867	0.890977	
uce-1868	0.953271	
uce-1869	0.966555	
uce-186	1.000000	
uce-1873	0.950596	
uce-1875	0.824458	
uce-1877	0.962406	
uce-1878	0.962482	
uce-1879	0.945392	
uce-1880	0.933929	
uce-1884	0.941176	
uce-1886	0.936037	
uce-1888	0.886470	
uce-1889	0.954210	
uce-188	0.791191	
uce-1890	0.951351	
uce-1891	0.961415	
uce-1892	0.785216	
uce-1893	0.869779	
uce-1895	0.941606	
uce-1896	0.884498	
uce-1897	0.973510	
uce-1898	0.929453	
uce-1899	0.984720	
uce-18	0.995272	
uce-1900	0.864368	
uce-1903	0.970370	
uce-1904	0.872079	
uce-1906	0.880862	
uce-1907	0.904040	
uce-1908	0.989619	
uce-1909	0.944862	
uce-190	0.962185	
uce-1910	0.977602	
uce-1911	0.918782	
uce-1912	0.913043	
uce-1913	0.886973	
uce-1914	0.903571	
uce-1915	1.000000	
uce-1917	0.889431	
uce-1918	0.976285	
uce-1919	0.907143	
uce-191	0.959414	
uce-1920	0.908511	
uce-1922	0.936950	
uce-1925	0.994302	
uce-1928	0.907601	
uce-1929	0.989333	
uce-192	0.924561	
uce-1932	0.903226	
uce-1933	0.937500	
uce-1937	0.983213	
uce-1938	0.948276	
uce-1941	0.830882	
uce-1943	0.879421	
uce-1946	0.916981	
uce-1956	0.922039	
uce-195	0.955671	
uce-1960	0.977208	
uce-1961	0.988950	
uce-1963	0.899115	
uce-1964	0.988861	
uce-1965	0.961187	
uce-1966	0.943574	
uce-1967	0.982318	
uce-1969	0.932773	
uce-1970	0.948661	
uce-1971	0.925512	
uce-1972	0.955631	
uce-1976	0.890390	
uce-1977	0.982857	
uce-1979	0.914980	
uce-1980	0.889246	
uce-1981	0.948052	
uce-1982	0.981567	
uce-1983	0.887850	
uce-1985	0.970516	
uce-1986	0.954357	
uce-1988	0.992710	
uce-1989	0.935185	
uce-198	0.877005	
uce-1993	0.920071	
uce-1995	0.835756	
uce-1996	0.959119	
uce-1997	0.947785	
uce-1998	0.989189	
uce-1999	0.955307	
uce-19	0.982507	
uce-2000	0.915123	
uce-2001	0.882222	
uce-2003	0.952778	
uce-2004	0.934844	
uce-2005	0.822993	
uce-2006	0.928184	
uce-2007	0.899471	
uce-2008	0.927928	
uce-2009	0.976351	
uce-200	0.977778	
uce-2010	0.953237	
uce-2012	0.891156	
uce-2013	0.950515	
uce-2014	0.938697	
uce-2016	0.928896	
uce-2018	0.950949	
uce-201	0.944134	
uce-2020	1.000000	
uce-2021	0.831152	
uce-2023	0.957560	
uce-2024	0.892575	
uce-2025	0.920530	
uce-2028	0.936842	
uce-202	0.843558	
uce-2030	0.961883	
uce-2031	0.982275	
uce-2033	0.884457	
uce-2035	0.862319	
uce-2036	0.916031	
uce-2037	0.986175	
uce-2040	0.994852	
uce-2041	0.968815	
uce-2042	0.969174	
uce-2043	0.968839	
uce-2045	0.938900	
uce-2046	1.000000	
uce-2048	0.882550	
uce-2049	0.926948	
uce-204	0.973941	
uce-2051	0.916828	
uce-2054	0.951389	
uce-2055	0.912525	
uce-2057	0.928469	
uce-205	0.959184	
uce-2060	0.975501	
uce-2062	1.000000	
uce-2063	0.980000	
uce-2064	0.865248	
uce-2066	0.967599	
uce-2068	0.931258	
uce-2069	0.900442	
uce-2070	0.929204	
uce-2073	0.878282	
uce-2075	0.906318	
uce-2076	0.970852	
uce-2077	0.743003	
uce-2079	0.968109	
uce-207	0.960490	
uce-2080	0.941935	
uce-2082	0.915374	
uce-2083	0.938808	
uce-2086	0.947443	
uce-2088	0.889098	
uce-2089	0.918083	
uce-208	0.951907	
uce-2090	0.944793	
uce-2092	0.929648	
uce-2094	0.982456	
uce-2096	0.941509	
uce-2099	0.904059	
uce-2100	0.873016	
uce-2102	0.969156	
uce-2103	0.964435	
uce-2104	0.971299	
uce-2108	0.974468	
uce-2109	0.941053	
uce-2111	0.940415	
uce-2112	0.916449	
uce-2113	0.975124	
uce-2114	0.916211	
uce-2116	0.978297	
uce-2118	0.909091	
uce-2119	0.910853	
uce-211	0.856237	
uce-2120	0.940154	
uce-2122	0.979032	
uce-2124	0.982301	
uce-2125	1.000000	
uce-2126	0.830534	
uce-2127	0.966667	
uce-2129	0.923237	
uce-212	0.945792	
uce-2131	0.985095	
uce-2134	0.890667	
uce-2135	0.926063	
uce-2136	0.776025	
uce-2138	0.912752	
uce-213	0.985411	
uce-2140	0.931707	
uce-2142	0.993976	
uce-2145	0.858025	
uce-2146	0.867368	
uce-2147	0.939024	
uce-2149	0.969365	
uce-2151	0.975936	
uce-2152	0.964706	
uce-2154	0.944123	
uce-2155	0.960976	
uce-2156	0.968487	
uce-215	0.879195	
uce-2160	0.884211	
uce-2162	0.903077	
uce-2163	0.934281	
uce-2164	0.971370	
uce-2165	0.865385	
uce-2166	0.942623	
uce-2168	0.821958	
uce-2169	1.000000	
uce-2172	0.914430	
uce-2175	0.905325	
uce-2176	0.979849	
uce-2177	0.827586	
uce-2178	0.898757	
uce-2179	0.950570	
uce-2180	0.950151	
uce-2183	0.912682	
uce-2184	0.898876	
uce-2185	0.965197	
uce-2187	0.845570	
uce-2190	0.891667	
uce-2193	0.962060	
uce-2194	0.919192	
uce-2195	0.955556	
uce-2196	0.904854	
uce-2198	0.885542	
uce-219	0.966011	
uce-2201	0.889597	
uce-2202	0.918860	
uce-2204	0.988235	
uce-2205	0.972696	
uce-2206	0.961759	
uce-2208	0.891566	
uce-2209	0.962162	
uce-220	0.973856	
uce-2211	0.936479	
uce-2212	1.000000	
uce-2213	0.929870	
uce-2217	0.966019	
uce-2219	0.921101	
uce-221	0.965116	
uce-2220	0.900850	
uce-2222	0.912879	
uce-2223	0.913215	
uce-2224	0.931579	
uce-2225	0.789842	
uce-2226	0.714047	
uce-2229	0.694690	
uce-222	0.955247	
uce-2230	0.828859	
uce-2231	0.909449	
uce-2233	0.975871	
uce-2235	0.924350	
uce-2238	0.968491	
uce-2239	0.950515	
uce-223	0.992797	
uce-2243	0.980932	
uce-2245	0.974085	
uce-2246	0.957219	
uce-2247	0.951039	
uce-2248	0.898017	
uce-224	0.860058	
uce-2250	0.932504	
uce-2251	0.806931	
uce-2252	0.936210	
uce-2253	0.841542	
uce-2255	0.916824	
uce-2256	0.935345	
uce-2257	0.959615	
uce-2259	0.947846	
uce-225	0.917044	
uce-2260	0.883544	
uce-2261	0.992141	
uce-2262	0.980100	
uce-2263	0.908840	
uce-2265	0.916667	
uce-2266	0.906028	
uce-2267	0.889706	
uce-2270	0.904000	
uce-2273	0.951128	
uce-2274	0.903226	
uce-2275	0.840206	
uce-2276	0.694915	
uce-2277	0.675410	
uce-2278	0.884112	
uce-2279	0.954003	
uce-227	0.869873	
uce-2282	0.928367	
uce-2283	0.924399	
uce-2284	0.955197	
uce-2287	0.907631	
uce-2288	0.945652	
uce-2289	0.994083	
uce-2291	0.912310	
uce-2293	0.971223	
uce-2294	0.980287	
uce-2296	0.853147	
uce-2297	0.957865	
uce-2298	0.892285	
uce-2299	0.941176	
uce-2302	0.975904	
uce-2303	0.985714	
uce-2306	0.925400	
uce-2308	0.876161	
uce-2309	0.969388	
uce-230	0.935532	
uce-2310	0.934383	
uce-2312	0.908184	
uce-2313	0.863958	
uce-2315	0.982808	
uce-2319	0.938053	
uce-231	0.947309	
uce-2320	0.947514	
uce-2321	0.520755	
uce-2325	0.930314	
uce-2326	0.859431	
uce-2328	0.936170	
uce-232	0.921642	
uce-2331	0.980507	
uce-2334	0.976115	
uce-2335	0.909864	
uce-2336	0.911504	
uce-2338	1.000000	
uce-233	0.964286	
uce-2340	0.947126	
uce-2341	0.955635	
uce-2342	0.917004	
uce-2344	0.854337	
uce-2345	0.983945	
uce-2346	0.960674	
uce-2347	0.911824	
uce-2349	0.850485	
uce-234	0.877429	
uce-2350	0.814714	
uce-2352	0.864528	
uce-2353	0.972689	
uce-2356	0.934028	
uce-2357	0.884298	
uce-2358	0.900929	
uce-235	0.887742	
uce-2361	0.956422	
uce-2365	0.862464	
uce-2366	0.855234	
uce-2367	0.934251	
uce-2369	0.929062	
uce-2370	0.949495	
uce-2371	0.980456	
uce-2372	0.956743	
uce-2376	0.953578	
uce-2377	1.000000	
uce-2378	0.966044	
uce-2379	0.759295	
uce-237	0.961424	
uce-2380	0.837838	
uce-2383	0.950617	
uce-2384	0.873900	
uce-2385	0.902200	
uce-2386	0.899642	
uce-2387	0.904610	
uce-2388	0.990123	
uce-2389	0.967980	
uce-238	0.943662	
uce-2392	0.961696	
uce-2393	0.877104	
uce-2395	0.824762	
uce-2396	0.919403	
uce-2397	0.910470	
uce-2399	0.904930	
uce-239	0.983854	
uce-23	0.984399	
uce-2400	0.862805	
uce-2404	0.974318	
uce-2406	0.823864	
uce-2407	0.968254	
uce-2409	0.837838	
uce-240	0.987080	
uce-2414	0.944297	
uce-2415	0.854054	
uce-2416	0.870098	
uce-2417	0.945693	
uce-2418	0.944112	
uce-2419	0.986301	
uce-241	0.910675	
uce-2421	0.875717	
uce-2422	0.829103	
uce-2423	0.984877	
uce-2427	0.894984	
